observation_id,access,user_id,specie_id,specie_name,major_clade,family_molecules,family_morphology,location_id,location_name,latitude,longitude,resource_id,resource_secondary_id,measurement_id,trait_id,trait_name,standard_id,standard_unit,methodology_id,methodology_name,value,value_type,precision,precision_type,precision_upper,replicates,notes
90491,1,15,37,Acropora cervicornis,Complex,Acroporidae,Acroporidae,70,St. Croix,17.785806,-64.755668,576,683,95665,134,Gross photosynthesis,46,µmol O2 cm^-2 h^-1,27,Oxygen production in the light in stirring chambers,0.94,raw_value,"","","","",Oxygen production in the light in stirring chambers
90491,1,15,37,Acropora cervicornis,Complex,Acroporidae,Acroporidae,70,St. Croix,17.785806,-64.755668,576,683,95666,143,Water depth,9,m,,,1,raw_value,"","","","",""
90491,1,15,37,Acropora cervicornis,Complex,Acroporidae,Acroporidae,70,St. Croix,17.785806,-64.755668,576,683,95667,142,Habitat type,10,cat,,,back,raw_value,"","","","",""
90491,1,15,37,Acropora cervicornis,Complex,Acroporidae,Acroporidae,70,St. Croix,17.785806,-64.755668,576,683,95668,151,Season,10,cat,,,November 1894,raw_value,"","","","",""
90491,1,15,37,Acropora cervicornis,Complex,Acroporidae,Acroporidae,70,St. Croix,17.785806,-64.755668,576,683,95669,152,Water temperature,52,ºC,,,27,raw_value,"","","","",""
90490,1,15,37,Acropora cervicornis,Complex,Acroporidae,Acroporidae,47,Jamaica,18.13265,-77.29588889,575,683,95662,134,Gross photosynthesis,46,µmol O2 cm^-2 h^-1,27,Oxygen production in the light in stirring chambers,1.31,raw_value,"","","","",Oxygen production in the light in stirring chambers
90490,1,15,37,Acropora cervicornis,Complex,Acroporidae,Acroporidae,47,Jamaica,18.13265,-77.29588889,575,683,95663,143,Water depth,9,m,,,10,raw_value,"","","","",""
90490,1,15,37,Acropora cervicornis,Complex,Acroporidae,Acroporidae,47,Jamaica,18.13265,-77.29588889,575,683,95664,142,Habitat type,10,cat,,,fore,raw_value,"","","","",""
90444,1,15,37,Acropora cervicornis,Complex,Acroporidae,Acroporidae,47,Jamaica,18.13265,-77.29588889,574,683,95450,143,Water depth,9,m,,,15,raw_value,"","","","",""
90444,1,15,37,Acropora cervicornis,Complex,Acroporidae,Acroporidae,47,Jamaica,18.13265,-77.29588889,574,683,95451,152,Water temperature,52,ºC,,,28,raw_value,"","","","",""
90444,1,15,37,Acropora cervicornis,Complex,Acroporidae,Acroporidae,47,Jamaica,18.13265,-77.29588889,574,683,95449,133,Dark respiration,46,µmol O2 cm^-2 h^-1,24,Oxygen consumption in dark stirring chamber normalized to surface area by foil,0.35,raw_value,"","","","",Oxygen consumption in dark stirring chamber normalized to surface area by foil
90446,1,15,37,Acropora cervicornis,Complex,Acroporidae,Acroporidae,70,St. Croix,17.785806,-64.755668,576,683,95456,143,Water depth,9,m,,,1,raw_value,"","","","",""
