"","coral_id","genotype","treatment","wound","temp","wound_status","growthrate"
"1",59,65,"2_A","2","A","wounded",1.96509677840785
"2",69,65,"1_A","1","A","wounded",1.10444722703512
"3",49,69,"2_A","2","A","wounded",1.56646473966387
"4",25,70,"2_A","2","A","wounded",1.43776019826995
"5",85,67,"1_A","1","A","wounded",2.05889279835947
"6",52,69,"1_A","1","A","wounded",2.38917492975643
"7",26,70,"1_A","1","A","wounded",0.346410903886698
"8",9,68,"2_A","2","A","wounded",1.7075623531428
"9",87,67,"2_A","2","A","wounded",1.10079296680194
"10",106,66,"1_A","1","A","wounded",1.15554355039687
"11",7,68,"2_H","2","H","wounded",1.11718127194268
"12",74,67,"1_H","1","H","wounded",1.65164868414497
"13",63,65,"2_H","2","H","wounded",1.4129924320937
"14",23,70,"1_H","1","H","wounded",0.317133998504281
"15",56,65,"1_H","1","H","wounded",2.03480214744046
"16",76,67,"2_H","2","H","wounded",1.13125093056608
"17",46,69,"1_H","1","H","wounded",1.45194217053357
"18",92,66,"1_H","1","H","wounded",1.34905763536406
"19",24,70,"2_H","2","H","wounded",1.46228246685429
"20",43,69,"2_H","2","H","wounded",1.62913532531136
"21",98,66,"2_H","2","H","wounded",0.626090594599487
"22",3,68,"1_H","1","H","wounded",1.39305735518091
"23",91,66,"1_A","1","A","wounded",1.65970278010761
"24",78,67,"2_A","2","A","wounded",1.40900048545229
"25",101,66,"2_A","2","A","wounded",2.33037502703764
"26",62,65,"2_A","2","A","wounded",2.07059524243948
"27",67,65,"1_A","1","A","wounded",1.38370631784945
"28",42,69,"2_A","2","A","wounded",2.11592633941146
"29",75,67,"1_A","1","A","wounded",1.14378410560915
"30",54,69,"1_A","1","A","wounded",0.633549865348862
"31",16,68,"2_A","2","A","wounded",1.9304150641978
"32",20,70,"1_A","1","A","wounded",1.28251125006155
"33",12,68,"1_A","1","A","wounded",1.00542781189986
"34",45,69,"2_H","2","H","wounded",1.63979664972286
"35",84,67,"1_H","1","H","wounded",1.20558473470256
"36",33,70,"2_H","2","H","wounded",-0.284120309068092
"37",73,67,"2_H","2","H","wounded",1.71034918938912
"38",50,69,"1_H","1","H","wounded",0.615049691071775
"39",70,65,"1_H","1","H","wounded",1.98276910719703
"40",55,65,"2_H","2","H","wounded",2.00495847012963
"41",2,68,"1_H","1","H","wounded",1.76215849691993
"42",96,66,"1_H","1","H","wounded",1.62620046808195
"43",94,66,"2_H","2","H","wounded",1.07579535632672
"44",14,68,"2_H","2","H","wounded",1.42224066781217
"45",35,70,"1_H","1","H","wounded",1.07389005055344
"46",82,67,"2_A","2","A","wounded",1.39298927556879
"47",105,66,"1_A","1","A","wounded",1.77054738353947
"48",6,68,"1_A","1","A","wounded",1.63143316765456
"49",102,66,"2_A","2","A","wounded",2.50523515047643
"50",4,68,"2_A","2","A","wounded",1.29829671006237
"51",27,70,"2_A","2","A","wounded",0.779335240261998
"52",22,70,"1_A","1","A","wounded",1.1366603954582
"53",44,69,"2_A","2","A","wounded",1.28965768119449
"54",88,67,"1_A","1","A","wounded",1.04011581438542
"55",65,65,"2_A","2","A","wounded",1.9755215400216
"56",38,69,"1_A","1","A","wounded",1.18337133458362
"57",13,68,"2_H","2","H","wounded",2.31846742601491
"58",30,70,"1_H","1","H","wounded",1.13388748401055
"59",48,69,"1_H","1","H","wounded",1.65668568647034
"60",39,69,"2_H","2","H","wounded",1.55821292338118
"61",80,67,"1_H","1","H","wounded",1.84784316111761
"62",10,68,"1_H","1","H","wounded",1.3466767136659
"63",79,67,"2_H","2","H","wounded",1.77876224428783
"64",93,66,"2_H","2","H","wounded",1.0770993226137
"65",72,65,"1_H","1","H","wounded",2.1447819160144
"66",31,70,"2_H","2","H","wounded",0.779266454122974
"67",66,65,"2_H","2","H","wounded",1.73833363718253
