"Table X. Previous studies investigating coral growth and regeneration post experimental injury in contrasting temperature regimes. The table displays each study with the associated injury and temperature treatments and whether coral growth and regeneration increased (+ ), decreased (-), or if there was no effect (∅).  Tradeoffs  between coral  growth and regeneration and synergistic interactions between treatments are also displayed. Unreported data is denoted by NA. ",,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Study,Injury Type,Temperatures,Study Type,Growth,Regeneration ,Was there a tradeoff? ,Was there a synergistic effect of treatments?
Edmunds and Lenihan 2009,abrasion,"26.7, 29.6",ex situ,-,∅,no,"yes, treatments interact to decrease growth"
Lenihan and Edmunds 2010,abrasion,"26.6, 29.6",ex situ,+,∅,no,"yes, treatments interact to increase growth"
"Bonnesso et al., 2016",fragmentation,"26, 32",ex situ,-,-,no,"yes, treatments interact to decrease growth"
"Burmester et al., 2017",abrasion,"18, 24",ex situ ,+ ,+ ,NA,NA
"Dias et al., 2018",abrasion,"26, 30, 32",ex situ,∅,+ ,no,no
"Rice et al., 2019",abrasion,"26, 29",ex situ,∅,-,no,no
"Kaufman et al., 2021",fragmentation,"28, 31.5",ex situ,NA,-,NA,"yes, treatments interact to decrease growth"
"Denis et al., 2011",abrasion,"high, moderate, and low variation in sea surface temperature ",in situ,NA,-,NA,NA
"Denis et al., 2013",abrasion,~29-27 and ~28-26.5 ,in situ,+ ,-,"yes, growth >  regeneration","yes, treatments interact to increase growth"
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
