ID,treatment.level,measurement,value,unit,species,study type,notes
1,2,growth.TT,0.01,cm2_d,Acropora muricata,in situ,does not report means 
1,1,growth.C,0.004,cm2_d,Acropora muricata,in situ,
1,2,regeneration.TT,81,days,Acropora muricata,in situ,
1,1,regeneration.C,192,days,Acropora muricata,in situ,
1,1,wound size,104,mm2,Acropora muricata,in situ,circular wound
1,2,temperature.TT,29,C,Acropora muricata,in situ,29-27 does not report means
1,1,temperature.C,28,C,Acropora muricata,in situ,28-26.5
2,2,growth.TT,0.05,mm_d,Acropora aspera,ex situ,linear extension
2,1,growth.C,0.183,mm_d,Acropora aspera,ex situ,linear extension
2,2,regeneration.TT,4,days to first sign of linear extension,Acropora aspera,ex situ,
2,1,regeneration.C,4,days to first sign of linear extension,Acropora aspera,ex situ,
2,1,wound size,,removal of apical tips from 50% of colony,Acropora aspera,ex situ,
2,2,temperature.TT,32,C,Acropora aspera,ex situ,
2,1,temperature.C,26,C,Acropora aspera,ex situ,
4,1,temperature.C,26,C,Acropora tenuis,ex situ,
4,1,growth.C,1.64,g g−1 day−1,Acropora tenuis,ex situ,wet weight
4,1,regeneration.C,0.23,mm2 day−1,Acropora tenuis,ex situ,
4,2,temperature.TT,30,C,Acropora tenuis,ex situ,
4,2,growth.TT,0.57,g g−1 day−1,Acropora tenuis,ex situ,
4,2,regeneration.TT,0.42,mm2 day−1,Acropora tenuis,ex situ,
4,3,temperature.TT,32,C,Acropora tenuis,ex situ,
4,3,growth.TT,NA,g g−1 day−1,Acropora tenuis,ex situ,
4,3,regeneration.TT,0.3,mm2 day−1,Acropora tenuis,ex situ,
4,1,temperature.C,26,C,Montipora capricornis BM,ex situ,
4,1,growth.C,0.92,g g−1 day−1,Montipora capricornis BM,ex situ,
4,1,regeneration.C,0.24,mm2 day−1,Montipora capricornis BM,ex situ,
4,2,temperature.TT,30,C,Montipora capricornis BM,ex situ,
4,2,growth.TT,0.34,g g−1 day−1,Montipora capricornis BM,ex situ,
4,2,regeneration.TT,0.69,mm2 day−1,Montipora capricornis BM,ex situ,
4,3,temperature.TT,32,C,Montipora capricornis BM,ex situ,
4,3,growth.TT,NA,g g−1 day−1,Montipora capricornis BM,ex situ,
4,3,regeneration.TT,0.51,mm2 day−1,Montipora capricornis BM,ex situ,
4,1,temperature.C,26,C,Montipora capricornis GM,ex situ,
4,1,growth.C,0.79,g g−1 day−1,Montipora capricornis GM,ex situ,
4,1,regeneration.C,0.17,mm2 day−1,Montipora capricornis GM,ex situ,
4,2,temperature.TT,30,C,Montipora capricornis GM,ex situ,
4,2,growth.TT,0.14,g g−1 day−1,Montipora capricornis GM,ex situ,
4,2,regeneration.TT,0.16,mm2 day−1,Montipora capricornis GM,ex situ,
4,3,temperature.TT,32,C,Montipora capricornis GM,ex situ,
4,3,growth.TT,NA,g g−1 day−1,Montipora capricornis GM,ex situ,
4,3,regeneration.TT,0.09,mm2 day−1,Montipora capricornis GM,ex situ,
4,1,temperature.C,26,C,Turbinaria reniformis,ex situ,
4,1,growth.C,0.56,g g−1 day−1,Turbinaria reniformis,ex situ,
4,1,regeneration.C,0.16,mm2 day−1,Turbinaria reniformis,ex situ,
4,2,temperature.TT,30,C,Turbinaria reniformis,ex situ,
4,2,growth.TT,0.24,g g−1 day−1,Turbinaria reniformis,ex situ,
4,2,regeneration.TT,0.35,mm2 day−1,Turbinaria reniformis,ex situ,
4,3,temperature.TT,32,C,Turbinaria reniformis,ex situ,
4,3,growth.TT,0.11,g g−1 day−1,Turbinaria reniformis,ex situ,
4,3,regeneration.TT,0.52,mm2 day−1,Turbinaria reniformis,ex situ,
4,1,temperature.C,26,C,Echinopora lamellosa,ex situ,
4,1,growth.C,0.51,g g−1 day−1,Echinopora lamellosa,ex situ,
4,1,regeneration.C,0.3,mm2 day−1,Echinopora lamellosa,ex situ,
4,2,temperature.TT,30,C,Echinopora lamellosa,ex situ,
4,2,growth.TT,0.17,g g−1 day−1,Echinopora lamellosa,ex situ,
4,2,regeneration.TT,0.58,mm2 day−1,Echinopora lamellosa,ex situ,
4,3,temperature.TT,32,C,Echinopora lamellosa,ex situ,
4,3,growth.TT,NA,g g−1 day−1,Echinopora lamellosa,ex situ,
4,3,regeneration.TT,0.84,mm2 day−1,Echinopora lamellosa,ex situ,
4,1,temperature.C,26,C,Galaxea fascicularis,ex situ,
4,1,growth.C,0.28,g g−1 day−1,Galaxea fascicularis,ex situ,
4,1,regeneration.C,0.3,mm2 day−1,Galaxea fascicularis,ex situ,
4,2,temperature.TT,30,C,Galaxea fascicularis,ex situ,
4,2,growth.TT,0.28,g g−1 day−1,Galaxea fascicularis,ex situ,
4,2,regeneration.TT,0.73,mm2 day−1,Galaxea fascicularis,ex situ,
4,3,temperature.TT,32,C,Galaxea fascicularis,ex situ,
4,3,growth.TT,0.2,g g−1 day−1,Galaxea fascicularis,ex situ,
4,3,regeneration.TT,0.88,mm2 day−1,Galaxea fascicularis,ex situ,
4,1,temperature.C,26,C,Pocillopora damicornis,ex situ,
4,1,growth.C,1.23,g g−1 day−1,Pocillopora damicornis,ex situ,
4,1,regeneration.C,0.4,mm2 day−1,Pocillopora damicornis,ex situ,
4,2,temperature.TT,30,C,Pocillopora damicornis,ex situ,
4,2,growth.TT,NA,g g−1 day−1,Pocillopora damicornis,ex situ,
4,2,regeneration.TT,0.5,mm2 day−1,Pocillopora damicornis,ex situ,
4,3,temperature.TT,32,C,Pocillopora damicornis,ex situ,
4,3,growth.TT,NA,g g−1 day−1,Pocillopora damicornis,ex situ,
4,3,regeneration.TT,0.13,mm2 day−1,Pocillopora damicornis,ex situ,
4,1,temperature.C,26,C,Stylophora pistillata,ex situ,
4,1,growth.C,0.76,g g−1 day−1,Stylophora pistillata,ex situ,
