coral_num,coral_id
59,20230613_24_A_blank_O2
69,20230613_24_A_blank_O2
49,20230613_24_A_blank_O2
25,20230613_24_A_blank_O2
5,20230613_24_A_blank_O2
85,20230613_24_A_blank_O2
52,20230613_24_A_blank_O2
15,20230613_24_A_blank_O2
26,20230613_24_A_blank_O2
103,20230613_24_A_blank2_O2
41,20230613_24_A_blank2_O2
57,20230613_24_A_blank2_O2
90,20230613_24_A_blank2_O2
9,20230613_24_A_blank2_O2
87,20230613_24_A_blank2_O2
104,20230613_24_A_blank2_O2
19,20230613_24_A_blank2_O2
106,20230613_24_A_blank2_O2
7,20230613_24_H_blank_O2
74,20230613_24_H_blank_O2
63,20230613_24_H_blank_O2
81,20230613_24_H_blank_O2
32,20230613_24_H_blank_O2
23,20230613_24_H_blank_O2
56,20230613_24_H_blank_O2
51,20230613_24_H_blank_O2
97,20230613_24_H_blank_O2
76,20230613_24_H_blank2_O2
46,20230613_24_H_blank2_O2
92,20230613_24_H_blank2_O2
24,20230613_24_H_blank2_O2
43,20230613_24_H_blank2_O2
98,20230613_24_H_blank2_O2
18,20230613_24_H_blank2_O2
58,20230613_24_H_blank2_O2
3,20230613_24_H_blank2_O2
68,20230614_24_A_blank_O2
91,20230614_24_A_blank_O2
11,20230614_24_A_blank_O2
29,20230614_24_A_blank_O2
78,20230614_24_A_blank_O2
77,20230614_24_A_blank_O2
101,20230614_24_A_blank_O2
62,20230614_24_A_blank_O2
67,20230614_24_A_blank_O2
37,20230614_24_A_blank2_O2
42,20230614_24_A_blank2_O2
75,20230614_24_A_blank2_O2
34,20230614_24_A_blank2_O2
54,20230614_24_A_blank2_O2
16,20230614_24_A_blank2_O2
108,20230614_24_A_blank2_O2
20,20230614_24_A_blank2_O2
12,20230614_24_A_blank2_O2
45,20230614_24_H_blank_O2
84,20230614_24_H_blank_O2
33,20230614_24_H_blank_O2
73,20230614_24_H_blank_O2
50,20230614_24_H_blank_O2
47,20230614_24_H_blank_O2
70,20230614_24_H_blank_O2
55,20230614_24_H_blank_O2
2,20230614_24_H_blank_O2
99,20230614_24_H_blank2_O2
60,20230614_24_H_blank2_O2
28,20230614_24_H_blank2_O2
89,20230614_24_H_blank2_O2
96,20230614_24_H_blank2_O2
17,20230614_24_H_blank2_O2
94,20230614_24_H_blank2_O2
14,20230614_24_H_blank2_O2
35,20230614_24_H_blank2_O2
1,20230615_24_A_blank_O2
82,20230615_24_A_blank_O2
107,20230615_24_A_blank_O2
64,20230615_24_A_blank_O2
105,20230615_24_A_blank_O2
6,20230615_24_A_blank_O2
102,20230615_24_A_blank_O2
4,20230615_24_A_blank_O2
27,20230615_24_A_blank_O2
71,20230615_24_A_blank2_O2
22,20230615_24_A_blank2_O2
44,20230615_24_A_blank2_O2
88,20230615_24_A_blank2_O2
83,20230615_24_A_blank2_O2
65,20230615_24_A_blank2_O2
38,20230615_24_A_blank2_O2
53,20230615_24_A_blank2_O2
21,20230615_24_A_blank2_O2
13,20230615_24_H_blank_O2
30,20230615_24_H_blank_O2
48,20230615_24_H_blank_O2
36,20230615_24_H_blank_O2
39,20230615_24_H_blank_O2
80,20230615_24_H_blank_O2
10,20230615_24_H_blank_O2
79,20230615_24_H_blank_O2
40,20230615_24_H_blank_O2
100,20230615_24_H_blank2_O2
61,20230615_24_H_blank2_O2
93,20230615_24_H_blank2_O2
95,20230615_24_H_blank2_O2
72,20230615_24_H_blank2_O2
31,20230615_24_H_blank2_O2
66,20230615_24_H_blank2_O2
8,20230615_24_H_blank2_O2
86,20230615_24_H_blank2_O2
