genotype,coral_id,wound,temp,date,chamber_vol,SA
,20230613_24_A_blank,,A,20230613,650,
,20230613_24_A_blank2,,A,20230613,650,
,20230613_24_H_blank,,H,20230613,650,
,20230613_24_H_blank2,,H,20230613,650,
,20230614_24_A_blank,,A,20230614,650,
,20230614_24_A_blank2,,A,20230614,650,
,20230614_24_H_blank,,H,20230614,650,
,20230614_24_H_blank2,,H,20230614,650,
,20230615_24_A_blank,,A,20230615,650,
,20230615_24_A_blank2,,A,20230615,650,
,20230615_24_H_blank,,H,20230615,650,
,20230615_24_H_blank2,,H,20230615,650,
