coral_num,coral_id
69,20230622_10_A_blank
26,20230622_10_A_blank
15,20230622_10_A_blank
87,20230622_10_A_blank
103,20230622_10_A_blank
41,20230622_10_A_blank
57,20230622_10_A_blank
59,20230622_10_A_blank
19,20230622_10_A_blank
106,20230622_10_A_blank2
9,20230622_10_A_blank2
49,20230622_10_A_blank2
104,20230622_10_A_blank2
85,20230622_10_A_blank2
25,20230622_10_A_blank2
90,20230622_10_A_blank2
52,20230622_10_A_blank2
5,20230622_10_A_blank2
7,20230622_10_H_blank
18,20230622_10_H_blank
23,20230622_10_H_blank
81,20230622_10_H_blank
46,20230622_10_H_blank
24,20230622_10_H_blank
43,20230622_10_H_blank
32,20230622_10_H_blank
63,20230622_10_H_blank
92,20230622_10_H_blank2
76,20230622_10_H_blank2
56,20230622_10_H_blank2
98,20230622_10_H_blank2
74,20230622_10_H_blank2
97,20230622_10_H_blank2
58,20230622_10_H_blank2
51,20230622_10_H_blank2
3,20230622_10_H_blank2
78,20230623_10_A_blank
16,20230623_10_A_blank
77,20230623_10_A_blank
91,20230623_10_A_blank
108,20230623_10_A_blank
34,20230623_10_A_blank
37,20230623_10_A_blank
29,20230623_10_A_blank
12,20230623_10_A_blank
54,20230623_10_A_blank2
11,20230623_10_A_blank2
42,20230623_10_A_blank2
67,20230623_10_A_blank2
101,20230623_10_A_blank2
68,20230623_10_A_blank2
62,20230623_10_A_blank2
20,20230623_10_A_blank2
75,20230623_10_A_blank2
96,20230623_10_H_blank
45,20230623_10_H_blank
50,20230623_10_H_blank
99,20230623_10_H_blank
55,20230623_10_H_blank
89,20230623_10_H_blank
84,20230623_10_H_blank
70,20230623_10_H_blank
94,20230623_10_H_blank2
28,20230623_10_H_blank2
73,20230623_10_H_blank2
14,20230623_10_H_blank2
47,20230623_10_H_blank2
33,20230623_10_H_blank2
2,20230623_10_H_blank2
35,20230623_10_H_blank2
60,20230623_10_H_blank2
102,20230624_10_A_blank
82,20230624_10_A_blank
38,20230624_10_A_blank
22,20230624_10_A_blank
21,20230624_10_A_blank
44,20230624_10_A_blank
53,20230624_10_A_blank
105,20230624_10_A_blank
64,20230624_10_A_blank
88,20230624_10_A_blank2
65,20230624_10_A_blank2
107,20230624_10_A_blank2
6,20230624_10_A_blank2
1,20230624_10_A_blank2
27,20230624_10_A_blank2
4,20230624_10_A_blank2
71,20230624_10_A_blank2
83,20230624_10_A_blank2
61,20230624_10_H_blank
48,20230624_10_H_blank
100,20230624_10_H_blank
93,20230624_10_H_blank
8,20230624_10_H_blank
66,20230624_10_H_blank
30,20230624_10_H_blank
39,20230624_10_H_blank
13,20230624_10_H_blank
86,20230624_10_H_blank2
95,20230624_10_H_blank2
36,20230624_10_H_blank2
80,20230624_10_H_blank2
10,20230624_10_H_blank2
79,20230624_10_H_blank2
31,20230624_10_H_blank2
72,20230624_10_H_blank2
40,20230624_10_H_blank2
