coral_num,coral_id
9,20230701_F_A_blank
90,20230701_F_A_blank
25,20230701_F_A_blank
26,20230701_F_A_blank
104,20230701_F_A_blank
87,20230701_F_A_blank
106,20230701_F_A_blank
15,20230701_F_A_blank
69,20230701_F_A_blank
49,20230701_F_A_blank2
52,20230701_F_A_blank2
41,20230701_F_A_blank2
85,20230701_F_A_blank2
103,20230701_F_A_blank2
57,20230701_F_A_blank2
5,20230701_F_A_blank2
19,20230701_F_A_blank2
59,20230701_F_A_blank2
24,20230701_F_H_blank
46,20230701_F_H_blank
97,20230701_F_H_blank
51,20230701_F_H_blank
98,20230701_F_H_blank
23,20230701_F_H_blank
76,20230701_F_H_blank
7,20230701_F_H_blank
18,20230701_F_H_blank
81,20230701_F_H_blank2
92,20230701_F_H_blank2
43,20230701_F_H_blank2
74,20230701_F_H_blank2
32,20230701_F_H_blank2
58,20230701_F_H_blank2
56,20230701_F_H_blank2
3,20230701_F_H_blank2
63,20230701_F_H_blank2
34,20230702_F_A_blank
11,20230702_F_A_blank
62,20230702_F_A_blank
108,20230702_F_A_blank
101,20230702_F_A_blank
54,20230702_F_A_blank
75,20230702_F_A_blank
78,20230702_F_A_blank
77,20230702_F_A_blank
29,20230702_F_A_blank2
68,20230702_F_A_blank2
16,20230702_F_A_blank2
91,20230702_F_A_blank2
37,20230702_F_A_blank2
67,20230702_F_A_blank2
20,20230702_F_A_blank2
12,20230702_F_A_blank2
42,20230702_F_A_blank2
14,20230702_F_H_blank
89,20230702_F_H_blank
33,20230702_F_H_blank
99,20230702_F_H_blank
60,20230702_F_H_blank
70,20230702_F_H_blank
35,20230702_F_H_blank
2,20230702_F_H_blank
50,20230702_F_H_blank
84,20230702_F_H_blank2
96,20230702_F_H_blank2
45,20230702_F_H_blank2
73,20230702_F_H_blank2
28,20230702_F_H_blank2
55,20230702_F_H_blank2
94,20230702_F_H_blank2
47,20230702_F_H_blank2
102,20230703_F_A_blank
1,20230703_F_A_blank
88,20230703_F_A_blank
6,20230703_F_A_blank
53,20230703_F_A_blank
107,20230703_F_A_blank
65,20230703_F_A_blank
83,20230703_F_A_blank
27,20230703_F_A_blank
22,20230703_F_A_blank2
44,20230703_F_A_blank2
105,20230703_F_A_blank2
21,20230703_F_A_blank2
64,20230703_F_A_blank2
38,20230703_F_A_blank2
4,20230703_F_A_blank2
71,20230703_F_A_blank2
82,20230703_F_A_blank2
8,20230703_F_H_blank
72,20230703_F_H_blank
66,20230703_F_H_blank
79,20230703_F_H_blank
48,20230703_F_H_blank
93,20230703_F_H_blank
30,20230703_F_H_blank
80,20230703_F_H_blank
10,20230703_F_H_blank
36,20230703_F_H_blank2
13,20230703_F_H_blank2
40,20230703_F_H_blank2
86,20230703_F_H_blank2
39,20230703_F_H_blank2
95,20230703_F_H_blank2
61,20230703_F_H_blank2
31,20230703_F_H_blank2
100,20230703_F_H_blank2
