coral_num,coral_id,
105,20230605_g1_blank_O2,
76,20230605_g1_blank_O2,
18,20230605_g1_blank_O2,
25,20230605_g1_blank_O2,
41,20230605_g1_blank_O2,
64,20230605_g1_blank_O2,
38,20230605_g1_blank_O2,
21,20230605_g1_blank_O2,
7,20230605_g1_blank_O2,
93,20230605_g1_blank2_O2,
81,20230605_g1_blank2_O2,
4,20230605_g1_blank2_O2,
3,20230605_g1_blank2_O2,
40,20230605_g1_blank2_O2,
103,20230605_g1_blank2_O2,
23,20230605_g1_blank2_O2,
75,20230605_g1_blank2_O2,
72,20230605_g1_blank2_O2,
91,20230605_g1_blank3_O2,
79,20230605_g1_blank3_O2,
6,20230605_g1_blank3_O2,
56,20230605_g1_blank3_O2,
58,20230605_g1_blank3_O2,
51,20230605_g1_blank3_O2,
53,20230605_g1_blank3_O2,
33,20230605_g1_blank3_O2,
104,20230605_g1_blank3_O2,
66,20230605_g1_blank4_O2,
48,20230605_g1_blank4_O2,
27,20230605_g1_blank4_O2,
2,20230605_g1_blank4_O2,
83,20230605_g1_blank4_O2,
96,20230605_g1_blank4_O2,
60,20230605_g1_blank4_O2,
62,20230605_g1_blank4_O2,
102,20230605_g1_blank4_O2,
88,20230606_g2_blank_O2,
98,20230606_g2_blank_O2,
1,20230606_g2_blank_O2,
69,20230606_g2_blank_O2,
52,20230606_g2_blank_O2,
22,20230606_g2_blank_O2,
32,20230606_g2_blank_O2,
74,20230606_g2_blank_O2,
17,20230606_g2_blank_O2,
19,20230606_g2_blank2_O2,
26,20230606_g2_blank2_O2,
13,20230606_g2_blank2_O2,
11,20230606_g2_blank2_O2,
89,20230606_g2_blank2_O2,
77,20230606_g2_blank2_O2,
47,20230606_g2_blank2_O2,
42,20230606_g2_blank2_O2,
71,20230606_g2_blank2_O2,
5,20230606_g2_blank3_O2,
82,20230606_g2_blank3_O2,
100,20230606_g2_blank3_O2,
45,20230606_g2_blank3_O2,
28,20230606_g2_blank3_O2,
55,20230606_g2_blank3_O2,
85,20230606_g2_blank3_O2,
14,20230606_g2_blank3_O2,
43,20230606_g2_blank3_O2,
30,20230606_g2_blank4_O2,
35,20230606_g2_blank4_O2,
87,20230606_g2_blank4_O2,
95,20230606_g2_blank4_O2,
37,20230606_g2_blank4_O2,
59,20230606_g2_blank4_O2,
16,20230606_g2_blank4_O2,
10,20230606_g2_blank4_O2,
65,20230606_g2_blank4_O2,
101,20230607_g3_blank_O2,
78,20230607_g3_blank_O2,
15,20230607_g3_blank_O2,
63,20230607_g3_blank_O2,
46,20230607_g3_blank_O2,
29,20230607_g3_blank_O2,
9,20230607_g3_blank_O2,
90,20230607_g3_blank_O2,
97,20230607_g3_blank_O2,
49,20230607_g3_blank2_O2,
54,20230607_g3_blank2_O2,
8,20230607_g3_blank2_O2,
99,20230607_g3_blank2_O2,
92,20230607_g3_blank2_O2,
70,20230607_g3_blank2_O2,
57,20230607_g3_blank2_O2,
50,20230607_g3_blank2_O2,
44,20230607_g3_blank2_O2,
12,20230607_g3_blank3_O2,
39,20230607_g3_blank3_O2,
61,20230607_g3_blank3_O2,
107,20230607_g3_blank3_O2,
106,20230607_g3_blank3_O2,
80,20230607_g3_blank3_O2,
73,20230607_g3_blank3_O2,
34,20230607_g3_blank3_O2,
31,20230607_g3_blank3_O2,
67,20230607_g3_blank4_O2,
68,20230607_g3_blank4_O2,
84,20230607_g3_blank4_O2,
86,20230607_g3_blank4_O2,
94,20230607_g3_blank4_O2,
108,20230607_g3_blank4_O2,
36,20230607_g3_blank4_O2,
20,20230607_g3_blank4_O2,
24,20230607_g3_blank4_O2,
