"","coral_num","umol.cm2.hr","Rate","genotype","wound","temp","date","chamber_vol","SA","file.names.full","wound_status"
"1","103",0.27454501894295,"Respiration",66,"0","A",20230613,646.8398571,19.7046255265744,"20230613_24_A_103_O2","no wound"
"2","104",0.264267223239292,"Respiration",66,"2","A",20230613,645.9276618,34.5805950035612,"20230613_24_A_104_O2","wounded"
"3","106",0.2694407503447,"Respiration",66,"1","A",20230613,646.5784801,21.0663197903596,"20230613_24_A_106_O2","wounded"
"4","15",0.246449058860701,"Respiration",68,"0","A",20230613,647.209354,16.6948489197158,"20230613_24_A_15_O2","no wound"
"5","19",0.225536962908432,"Respiration",70,"0","A",20230613,647.3631361,13.5824048882068,"20230613_24_A_19_O2","no wound"
"6","25",0.21295902651629,"Respiration",70,"2","A",20230613,646.7768747,18.0241218915062,"20230613_24_A_25_O2","wounded"
"7","26",0.186991661034945,"Respiration",70,"1","A",20230613,647.3426668,12.5476253187034,"20230613_24_A_26_O2","wounded"
"8","41",0.279135928586277,"Respiration",69,"0","A",20230613,646.5643091,29.2743102137316,"20230613_24_A_41_O2","no wound"
"9","49",0.235091225276727,"Respiration",69,"2","A",20230613,646.8781715,24.4192217374974,"20230613_24_A_49_O2","wounded"
"10","5",0.359794566343107,"Respiration",68,"0","A",20230613,644.5373249,54.2630210187899,"20230613_24_A_5_O2","no wound"
"11","52",0.265161086895187,"Respiration",69,"1","A",20230613,647.7625496,10.5266981176888,"20230613_24_A_52_O2","wounded"
"12","57",0.220795200915576,"Respiration",65,"0","A",20230613,647.1883599,26.9561878360973,"20230613_24_A_57_O2","no wound"
"13","59",0.295541049620241,"Respiration",65,"2","A",20230613,647.2728613,25.48101905033,"20230613_24_A_59_O2","wounded"
"14","69",0.290228325875491,"Respiration",65,"1","A",20230613,647.5284649,12.1585698147647,"20230613_24_A_69_O2","wounded"
"15","85",0.249503360308862,"Respiration",67,"1","A",20230613,646.6367388,20.3449460434734,"20230613_24_A_85_O2","wounded"
"16","87",0.253496038164475,"Respiration",67,"2","A",20230613,647.582,14.9305902803275,"20230613_24_A_87_O2","wounded"
"17","9",0.265530325078364,"Respiration",68,"2","A",20230613,646.9710705,23.1358789293665,"20230613_24_A_9_O2","wounded"
"18","90",0.241414907641929,"Respiration",67,"0","A",20230613,647.1253774,18.9589358106921,"20230613_24_A_90_O2","no wound"
"19","18",0.291454988637083,"Respiration",68,"0","H",20230613,646.8613761,23.4952149156432,"20230613_24_H_18_O2","no wound"
"20","23",0.247301199421959,"Respiration",70,"1","H",20230613,647.4287428,14.5145170330597,"20230613_24_H_23_O2","wounded"
"21","24",0.191502325635342,"Respiration",70,"2","H",20230613,647.3263963,17.3189587906174,"20230613_24_H_24_O2","wounded"
"22","3",0.318281141492972,"Respiration",68,"1","H",20230613,646.6031482,28.331390971547,"20230613_24_H_3_O2","wounded"
"23","32",0.181764131540432,"Respiration",70,"0","H",20230613,646.2284028,25.8268461649421,"20230613_24_H_32_O2","no wound"
"24","43",0.273644838209474,"Respiration",69,"2","H",20230613,646.2404745,33.5917455977173,"20230613_24_H_43_O2","wounded"
"25","46",0.264672529457155,"Respiration",69,"1","H",20230613,647.1201289,15.7708420978616,"20230613_24_H_46_O2","wounded"
"26","51",0.279399862450035,"Respiration",69,"0","H",20230613,647.3825557,15.9545627524993,"20230613_24_H_51_O2","no wound"
"27","56",0.330820391430941,"Respiration",65,"1","H",20230613,647.0886377,21.0420038213635,"20230613_24_H_56_O2","wounded"
"28","58",0.319878838694344,"Respiration",65,"0","H",20230613,647.7126885,11.4750209085392,"20230613_24_H_58_O2","no wound"
"29","63",0.246777422365176,"Respiration",65,"2","H",20230613,647.4297925,19.0399890406792,"20230613_24_H_63_O2","wounded"
"30","7",0.264019296537934,"Respiration",68,"2","H",20230613,645.747637,42.9452883382418,"20230613_24_H_7_O2","wounded"
"31","74",0.294601167655453,"Respiration",67,"1","H",20230613,647.1579184,17.9052438208582,"20230613_24_H_74_O2","wounded"
"32","76",0.313980634231179,"Respiration",67,"2","H",20230613,646.6782023,20.882599135722,"20230613_24_H_76_O2","wounded"
"33","81",0.286648883395088,"Respiration",67,"0","H",20230613,646.7312125,19.6073616505898,"20230613_24_H_81_O2","no wound"
"34","92",0.286849027526963,"Respiration",66,"1","H",20230613,647.3353188,11.3237215458964,"20230613_24_H_92_O2","wounded"
"35","97",0.265248493971264,"Respiration",66,"0","H",20230613,646.1921879,30.9548138487998,"20230613_24_H_97_O2","no wound"
"36","98",0.286428761505914,"Respiration",66,"2","H",20230613,646.0903664,26.7616600841279,"20230613_24_H_98_O2","wounded"
"37","108",0.233179847427719,"Respiration",66,"0","A",20230614,647.1885948,21.9930283865468,"20230614_24_A_108_O2","no wound"
"38","12",0.229461421293019,"Respiration",68,"1","A",20230614,646.3757468,34.6832624282118,"20230614_24_A_12_O2","wounded"
"39","16",0.237274148187545,"Respiration",68,"2","A",20230614,646.1481493,40.2164962620056,"20230614_24_A_16_O2","wounded"
"40","20",0.219649591881183,"Respiration",70,"1","A",20230614,647.356933,13.4311055255641,"20230614_24_A_20_O2","wounded"
"41","34",0.215934840885323,"Respiration",70,"0","A",20230614,647.1015414,18.0673502808327,"20230614_24_A_34_O2","no wound"
"42","37",0.257303078503353,"Respiration",69,"0","A",20230614,646.7328755,23.2736694203448,"20230614_24_A_37_O2","no wound"
"43","42",0.24326438415109,"Respiration",69,"2","A",20230614,646.6951174,23.8059189639275,"20230614_24_A_42_O2","wounded"
