"","coral_num","genotype","wound","temp","wound_status","timepoint","R.hours","P.hours","PR_Ratio"
"1",102,66,2,"A","wounded",0,10.8151213880552,6.17979526118713,0.571403226968164
"2",103,66,0,"A","no wound",0,9.55876054323044,6.07933290395918,0.635995940735705
"3",105,66,1,"A","wounded",0,8.5969465223182,5.32956912315319,0.619937452131091
"4",18,68,0,"H","no wound",0,9.1274998687121,5.72398428361242,0.627114145817027
"5",2,68,1,"H","wounded",0,10.8227293999383,8.86730000808727,0.819321973266543
"6",21,70,0,"A","no wound",0,8.99307170459003,4.95048112594287,0.550477221638982
"7",23,70,1,"H","wounded",0,10.4046634772772,5.34605709078616,0.513813551246655
"8",25,70,2,"A","wounded",0,7.92666871510756,4.52395867730432,0.570726346703759
"9",27,70,2,"A","wounded",0,7.44617795090024,3.59913536365362,0.483353391147265
"10",3,68,1,"H","wounded",0,11.3618662471092,8.63738881194754,0.760208633343589
"11",33,70,2,"H","wounded",0,9.38772217264687,6.87533754787533,0.732375481659236
"12",38,69,1,"A","wounded",0,10.7046236045989,6.3016447105281,0.588684380067396
"13",4,68,2,"A","wounded",0,13.3417707760103,6.90457476498284,0.517515619245828
"14",40,69,0,"H","no wound",0,9.89696836381009,6.80002421710294,0.687081535186913
"15",41,69,0,"A","no wound",0,9.28663010766722,6.98807936711229,0.752488177745208
"16",48,69,1,"H","wounded",0,9.75384462931021,7.26480997421553,0.744815019134593
"17",51,69,0,"H","no wound",0,10.2269278932379,8.1854287345442,0.800380018319723
"18",53,69,0,"A","no wound",0,11.1048810391199,6.47992491391627,0.583520425936035
"19",56,65,1,"H","wounded",0,13.7309675834806,8.59851016985887,0.626212982994988
"20",58,65,0,"H","no wound",0,8.38871949745623,6.56359019948278,0.782430524882028
"21",6,68,1,"A","wounded",0,8.89098829734278,5.99829679750681,0.674649048778919
"22",60,65,0,"H","no wound",0,10.124858790727,6.12850733899882,0.605293117234552
"23",62,65,2,"A","wounded",0,12.5715845534213,8.18280580018769,0.650896930726269
"24",64,65,0,"A","no wound",0,14.2820320857862,7.63642908789187,0.53468785408288
"25",66,65,2,"H","wounded",0,13.0337352450011,6.77941992543461,0.520144056787921
"26",7,68,2,"H","wounded",0,13.0950040820097,7.38772059149871,0.564163290460382
"27",72,65,1,"H","wounded",0,11.7855763814735,6.0014309993839,0.509218285566239
"28",75,67,1,"A","wounded",0,10.6399679944998,7.71957391082015,0.725526046207161
"29",76,67,2,"H","wounded",0,10.9515944515705,8.05228514739766,0.735261443710868
"30",79,67,2,"H","wounded",0,8.38165870018092,6.8724306491961,0.819936828142114
"31",81,67,0,"H","no wound",0,13.0053093235255,7.71359724100706,0.593111401591488
"32",83,67,0,"A","no wound",0,9.98605170882105,8.23914135079809,0.825064959709768
"33",91,66,1,"A","wounded",0,8.46361956191317,4.88807157633979,0.577539141567329
"34",93,66,2,"H","wounded",0,7.66289792602371,4.5689195410458,0.596239123260334
"35",96,66,1,"H","wounded",0,8.52763038298396,6.05151566012033,0.709636251612819
"36",1,68,0,"A","no wound",0,9.91450013307277,5.00772245117978,0.505090764432493
"37",10,68,1,"H","wounded",0,8.38327584786077,7.29388910343708,0.870052379977252
"38",100,66,1,"H","wounded",0,8.94462525039095,6.07539263934235,0.679222714118381
"39",13,68,2,"H","wounded",0,10.6204766824606,6.30945019928277,0.5940835226071
"40",14,68,2,"H","wounded",0,10.0821853659212,7.45340577403474,0.739264901757111
"41",16,68,2,"A","wounded",0,8.76728084090866,6.64287708637446,0.757689551289197
"42",19,70,0,"A","no wound",0,6.6251024086381,3.73939645228326,0.564428475461402
"43",22,70,1,"A","wounded",0,10.5491950159988,5.66901706304417,0.537388592631625
"44",26,70,1,"A","wounded",0,6.24824794523792,4.07332080112227,0.65191407844606
"45",28,70,0,"H","no wound",0,7.81854745513091,6.20771704266569,0.793973187256398
"46",30,70,1,"H","wounded",0,8.78705417154266,5.37088060908336,0.611226527597525
"47",32,70,0,"H","no wound",0,6.06268070035645,3.30912853971787,0.545819366591962
"48",35,70,1,"H","wounded",0,5.99900589360819,4.45372587543099,0.742410651767543
"49",42,69,2,"A","wounded",0,10.3004502347878,7.42678890280763,0.721015949159684
"50",43,69,2,"H","wounded",0,9.34516141976357,7.91397154698762,0.846852311213244
"51",45,69,2,"H","wounded",0,9.18834036652736,8.45323681317021,0.919996046725142
"52",47,69,0,"H","no wound",0,9.82221993615042,6.91232287541503,0.703743442963888
"53",52,69,1,"A","wounded",0,9.91711629656639,7.23743671959147,0.729792462159317
"54",55,65,2,"H","wounded",0,11.4760150412224,8.68071024102417,0.756421999260426
"55",59,65,2,"A","wounded",0,10.0454697074181,7.90804532144664,0.787225042907347
"56",65,65,2,"A","wounded",0,10.5790351318143,7.24549916502381,0.684892249127186
"57",69,65,1,"A","wounded",0,9.34891233830185,6.04271760048063,0.646355146119408
"58",74,67,1,"H","wounded",0,12.4972523134089,8.6067251730939,0.688689398057472
"59",77,67,0,"A","no wound",0,10.8678296198666,8.75243133836163,0.80535227773189
"60",82,67,2,"A","wounded",0,8.82117224746074,7.35605204562795,0.833908673277007
"61",85,67,1,"A","wounded",0,11.1645195512921,7.23813738593141,0.648316065252776
"62",87,67,2,"A","wounded",0,10.3638708052931,6.58037776627547,0.634934368625543
"63",88,67,1,"A","wounded",0,12.1521501537305,6.70774858272851,0.551980390126214
"64",89,67,0,"H","no wound",0,11.4101552543455,10.6592108933662,0.934186315239373
"65",95,66,0,"H","no wound",0,8.19658407855817,7.02944978728544,0.857607232465792
"66",98,66,2,"H","wounded",0,8.63146913352367,6.97907880385053,0.808562099439661
"67",101,66,2,"A","wounded",0,7.75205332341989,5.56820513649113,0.718287775403828
"68",106,66,1,"A","wounded",0,6.62243069187248,6.07796500035945,0.917784614615712
"69",107,66,0,"A","no wound",0,8.21392030846542,7.44810854024317,0.906766593847643
"70",108,66,0,"A","no wound",0,7.81147853581917,7.38746816064346,0.945719574952242
"71",12,68,1,"A","wounded",0,7.25144122877042,5.35304475510775,0.738204252951717
"72",15,68,0,"A","no wound",0,7.20516370864465,4.95528945861523,0.687741411436627
"73",20,70,1,"A","wounded",0,9.39883531483451,7.13468345447605,0.759102933021406
"74",24,70,2,"H","wounded",0,7.86769921812031,5.07096620529277,0.644529749385143
"75",29,70,2,"A","wounded",0,8.70010160400939,6.36472473155407,0.731569011633258
"76",31,70,2,"H","wounded",0,9.09778979264864,6.54109851446283,0.71897665955618
"77",34,70,0,"A","no wound",0,9.20233888838843,7.18907678609958,0.781222781870249
"78",36,70,0,"H","no wound",0,7.79186170349108,5.51478711405608,0.707762448040527
"79",39,69,2,"H","wounded",0,8.25607113918505,7.42354266069715,0.899161663646944
"80",44,69,2,"A","wounded",0,9.20726957843089,6.5665601951125,0.713192998116992
"81",46,69,1,"H","wounded",0,9.13267157430349,8.991081554406,0.984496319752055
"82",49,69,2,"A","wounded",0,9.28455289256253,6.61106185771056,0.712049566006179
"83",50,69,1,"H","wounded",0,8.9555540091237,8.1683429923213,0.912098010240304
"84",54,69,1,"A","wounded",0,5.96438746674635,5.82652530656726,0.976885780652629
"85",57,65,0,"A","no wound",0,10.0942473514876,6.33776837783102,0.627859428954552
"86",61,65,0,"H","no wound",0,8.87539454550519,5.45172268837027,0.614251305721525
