"","coral_num","umol.cm2.hr","Rate.ln","Temp.C","temp","wound","timepoint"
"1",102,0.0915769001529529,-1.65246598358969,29.0704666666667,"A",2,"day0"
"2",103,0.137068343144373,-1.4394068117192,28.5373666666667,"A",0,"day0"
"4",105,0.110726000343965,-1.55719656595615,28.4967166666667,"A",1,"day0"
"5",18,0.123514387222342,-1.49827949464085,28.56695,"H",0,"day0"
"6",2,0.335564730382158,-0.831111859102791,29.0657166666667,"H",1,"day0"
"7",21,0.0590406211312084,-1.83859563057843,28.52915,"A",0,"day0"
"8",23,0.0336285171463744,-2.01269158896274,28.5596333333333,"H",1,"day0"
"9",25,0.066631200441961,-1.79197228922086,28.6192,"A",2,"day0"
"10",27,0.00344725653806602,-2.26869339483227,29.0738,"A",2,"day0"
"11",3,0.291222980065582,-0.938477600047817,28.61745,"H",1,"day0"
"12",33,0.216868852577143,-1.1492673049759,28.3358166666667,"H",2,"day0"
"13",38,0.107458374274936,-1.57282456533936,28.61395,"A",1,"day0"
"14",4,0.0476116247371235,-1.91317061153545,28.27165,"A",2,"day0"
"15",40,0.187881047397062,-1.24520791403783,28.4954,"H",0,"day0"
"16",41,0.23151341604444,-1.10408699945284,28.6000333333333,"A",0,"day0"
"17",48,0.236357069108873,-1.08958197760971,28.8799,"H",1,"day0"
"18",51,0.299480846122135,-0.917589459550633,28.4283166666667,"H",0,"day0"
"19",53,0.106263168338952,-1.57860240931356,28.3925833333333,"A",0,"day0"
"20",56,0.18468415212833,-1.25637495140968,28.3824666666667,"H",1,"day0"
"21",58,0.231963083462788,-1.1027315106374,28.4306833333333,"H",0,"day0"
"22",6,0.158735000284134,-1.35195090599927,28.4298,"A",1,"day0"
"23",60,0.116925779047334,-1.52820001598791,28.97925,"H",0,"day0"
"24",62,0.197300803623252,-1.21301084590992,28.94625,"A",2,"day0"
"25",64,0.0732629093986736,-1.75294513056443,28.6209833333333,"A",0,"day0"
"26",66,-0.0496267612252308,-2.98829522161394,29.10655,"H",2,"day0"
"27",7,0.102262959297881,-1.59818664945782,28.6460833333333,"H",2,"day0"
"28",72,0.0331682718957362,-2.01614174823069,28.6265,"H",1,"day0"
"29",75,0.23917214232951,-1.08124750600335,28.4252166666667,"A",1,"day0"
"30",76,0.255869641987631,-1.03319078938029,28.4520833333333,"H",2,"day0"
"31",79,0.260346479168064,-1.02068926824895,28.3046166666667,"H",2,"day0"
"32",81,0.135787881361193,-1.44482268591801,28.1289666666667,"H",0,"day0"
"33",83,0.314836688819465,-0.879870357118065,29.13415,"A",0,"day0"
"34",91,0.0763866840900005,-1.73507662527687,28.5013333333333,"A",1,"day0"
"35",93,0.0821868468687461,-1.70272248738374,28.3065166666667,"H",2,"day0"
"36",96,0.179371248893059,-1.27521374048544,29.0552333333333,"H",1,"day0"
"37",1,-0.0241822723847206,-2.57942314012547,29.8249,"A",0,"day0"
"38",10,0.298590573330373,-0.919820520930227,28.1728166666667,"H",1,"day0"
