"","coral_num","temp","wound","genotype","timepoint","umol.sec.corr","drymass","SA"
"1","102","A","2",66,"day0",0.000261450180241636,7.48391713775889,10.2779265
"2","103","A","0",66,"day0",0.00050283538816056,8.99424890326835,13.2066045
"4","105","A","1",66,"day0",0.000771088253982852,11.4437268226624,25.0701525
"5","18","H","0",68,"day0",0.000506041412226183,9.2236468982336,14.7492865
"6","2","H","1",68,"day0",0.00264234178403842,12.3028146158879,28.3475275
"7","21","A","0",70,"day0",0.000179048326060792,7.59630675945328,10.917466
"8","23","H","1",70,"day0",9.23344851866145e-05,7.43465045427642,9.88459126
"9","25","A","2",70,"day0",0.000227389410396261,9.3822240356928,12.285564
"10","27","A","2",70,"day0",1.58011222847594e-05,9.70553664604651,16.5012495
"11","3","H","1",68,"day0",0.00150080585750586,9.92877630557645,18.5524545
"12","33","H","2",70,"day0",0.000604969308929249,7.67174636853581,10.0424265
"13","38","A","1",69,"day0",0.000285414546347007,8.05048399780729,9.561771
"14","4","A","2",68,"day0",0.000291504176108913,11.5484185250626,22.0411515
"15","40","H","0",69,"day0",0.00140398251269416,12.5922563813475,26.901793
"16","41","A","0",69,"day0",0.00126714318390206,9.88720754138811,19.7038925
"17","48","H","1",69,"day0",0.000736651680893564,8.54161124877316,11.2200835
"18","51","H","0",69,"day0",0.000702462813393385,7.44542754128821,8.4441665
"19","53","A","0",69,"day0",0.000243094471963035,7.37922543535865,8.235592
"20","56","H","1",65,"day0",0.000747006380086978,8.33068826011384,14.5612005
"21","58","H","0",65,"day0",0.00062603398662578,6.54785015159197,9.7158665
"22","6","A","1",68,"day0",0.00079263881461326,9.62393870152867,17.9765
"23","60","H","0",65,"day0",0.000611215527595529,8.24447156401952,18.8185695
"24","62","A","2",65,"day0",0.000462621333324514,7.15290660811105,8.441105
"25","64","A","0",65,"day0",0.000161185238548626,6.96507737733414,7.920336
"26","66","H","2",65,"day0",-0.000328359959625673,9.28984900416317,23.819726
"27","7","H","2",68,"day0",0.000701678374664758,12.0857332917933,24.701438
"28","72","H","1",65,"day0",0.000125963841790806,7.95041104698353,13.6717955
"29","75","A","1",67,"day0",0.00134113569790792,9.88258878981163,20.1866675
"30","76","H","2",67,"day0",0.000991846328085301,9.7563429133878,13.954945
"31","79","H","2",67,"day0",0.00115425323876055,8.06741942025439,15.9606985
"32","81","H","0",67,"day0",0.000386226695017187,9.33295735221033,10.2396185
"33","83","A","0",67,"day0",0.000982889096098668,8.48464664599656,11.238845
"34","91","A","1",66,"day0",0.000300169188064898,9.73016998778774,14.1465635
"35","93","H","2",66,"day0",0.0004299695870212,9.63471578854046,18.8337985
"36","96","H","1",66,"day0",0.000815945885030063,9.9657263181883,16.3761205
"37","1","A","0",68,"day0",-0.000150924480618972,11.4704336006392,22.4680345
"38","10","H","1",68,"day0",0.00160319362604009,9.56766034623862,19.3291335
"39","100","H","1",66,"day0",0.000618218786875332,8.18131020450252,13.6195145
"41","13","H","2",68,"day0",0.000356597396156921,7.878526415232,11.47984
"42","14","H","2",68,"day0",0.000804775479608238,9.72135770119828,12.110666
"43","16","A","2",68,"day0",0.00156862674793771,10.9217340434332,25.3558925
"45","19","A","0",70,"day0",0.000138605293475548,7.5649838111143,9.6147585
"46","22","A","1",70,"day0",0.000163189822842846,8.22127151679203,10.36043
"47","26","A","1",70,"day0",0.00023582075774978,7.88774825652957,8.60668976
"48","28","H","0",70,"day0",0.000706831072526997,8.56862753900085,11.339482
"49","30","H","1",70,"day0",0.000366914208082061,9.82740887612044,12.4358915
"50","32","H","0",70,"day0",0.000176343303166792,9.18187998528989,17.049415
"51","35","H","1",70,"day0",0.000315043343825047,6.85490203120068,7.872922
"53","42","A","2",69,"day0",0.000917984392755668,9.40627812353098,14.538043
"54","43","H","2",69,"day0",0.0018897534181851,10.6189502541627,21.7254245
"55","45","H","2",69,"day0",0.00174113639607207,10.3253883061897,16.9874785
"56","47","H","0",69,"day0",0.00074024466302507,8.03683469084044,13.235728
"58","52","A","1",69,"day0",0.000469028151461271,6.55211824193016,7.445882
"59","55","H","2",65,"day0",0.0011524751926838,8.35652518915653,14.2968125
"60","59","A","2",65,"day0",0.00127408173518769,7.69101564218121,16.2560155
"61","65","A","2",65,"day0",0.000903003662949474,8.37804281885088,16.358458
"62","69","A","1",65,"day0",0.000372446153755452,7.14077911142564,9.3852245
"64","74","H","1",67,"day0",0.000880784811086356,8.45489149633071,13.2631245
"65","77","A","0",67,"day0",0.000943314945038247,7.23760844505023,10.508481
"66","82","A","2",67,"day0",0.000787556133223311,7.53578131367196,9.9410045
"67","85","A","1",67,"day0",0.000551026124077282,9.83509374386843,11.4931065
"68","87","A","2",67,"day0",0.00033383953223475,6.89486334349019,8.141706
"69","88","A","1",67,"day0",0.000186444579905524,8.54249898865771,8.241558
"70","89","H","0",67,"day0",0.00132639152320162,8.32732269171419,10.0967485
"71","95","H","0",66,"day0",0.00142991036497408,9.82740887612044,18.211058
"72","98","H","2",66,"day0",0.00148307462617698,11.1876304675134,20.599813
"73","101","A","2",66,"day0",0.00049000031823395,7.29889675420002,10.4283325
"74","106","A","1",66,"day0",0.00142329226869461,9.96952466131573,19.363752
"75","107","A","0",66,"day0",0.000664041684971604,6.8194744831873,7.4710805
"76","108","A","0",66,"day0",0.00135619833954435,7.96271220637147,14.707603
"77","12","A","1",68,"day0",0.00130509637721519,10.5288506441639,27.4179305
"78","15","A","0",68,"day0",0.000413880771249257,8.03339625914898,10.8588265
"79","20","A","1",70,"day0",0.000600420885799413,7.74912343819593,9.007718
"80","24","H","2",70,"day0",0.000323382904144217,7.70917158227821,9.7893425
"81","29","A","2",70,"day0",0.0006819691962132,8.98763097164545,12.2542425
