"","coral_id","Intercept","umol.L.sec","Temp.C","surf.area.cm2","chamber_vol","date","temp","wound","genotype","coral_num","umol.sec","blank_id","blank.umol.sec","umol.sec.corr","umol.cm2.hr","Rate.ln"
"1","20230605_g1_102_O2",78.782952644809,0.000280990074751537,29.0704666666667,17.6053468699056,0.6474457621,20230605,"A",2,"66",102,0.000181925833090045,"20230605_g1_blank4_O2",-7.95243471515909e-05,0.000261450180241636,0.0534622041715521,-1.87430096916913
"2","20230605_g1_103_O2",79.5004456207265,0.000853906696286886,28.5373666666667,19.7046255265744,0.6469302905,20230605,"A",0,"66",103,0.00055241810708877,"20230605_g1_blank2_O2",4.95827189282108e-05,0.00050283538816056,0.091867130128238,-1.65095217710014
"3","20230605_g1_104_O2",65.4972887336348,0.00131958243492725,28.4553333333333,34.5805950035612,0.6460690693,20230605,"A",2,"66",104,0.000852541395598076,"20230605_g1_blank3_O2",-0.000115387717774983,0.000967929113373059,0.100765900869669,-1.60561572197111
"4","20230605_g1_105_O2",73.4146647707908,0.00113006865662593,28.4967166666667,35.9747105593413,0.6460942912,20230605,"A",1,"66",105,0.000730130907710066,"20230605_g1_blank_O2",-4.09573462727853e-05,0.000771088253982852,0.0771630312288214,-1.73068488995373
"5","20230605_g1_18_O2",78.7508332405183,0.000718996103713041,28.56695,23.4952149156432,0.6468519976,20230605,"H",0,"68",18,0.000465084065953397,"20230605_g1_blank_O2",-4.09573462727853e-05,0.000506041412226183,0.0775370257541816,-1.72857609602154
"6","20230605_g1_2_O2",73.6581918756135,0.00396843159245587,29.0657166666667,49.0972284942714,0.6458010872,20230605,"H",1,"68",2,0.00256281743688683,"20230605_g1_blank4_O2",-7.95243471515909e-05,0.00264234178403842,0.193746790078959,-1.22503714097425
"7","20230605_g1_21_O2",82.9498542029977,0.000213298425346192,28.52915,15.9950893674929,0.6474074038,20230605,"A",0,"70",21,0.000138090979788006,"20230605_g1_blank_O2",-4.09573462727853e-05,0.000179048326060792,0.04029824147959,-1.96398482595377
"8","20230605_g1_23_O2",81.5433550796053,0.000219189817672661,28.5596333333333,14.5145170330597,0.6474625766,20230605,"H",1,"70",23,0.000141917204114825,"20230605_g1_blank2_O2",4.95827189282108e-05,9.23344851866145e-05,0.022901495510646,-2.09637209396794
"9","20230605_g1_25_O2",77.405889144104,0.000288238522572272,28.6192,18.0241218915062,0.6467978758,20230605,"A",2,"70",25,0.000186432064123476,"20230605_g1_blank_O2",-4.09573462727853e-05,0.000227389410396261,0.0454170185018725,-1.92814967463942
"10","20230605_g1_27_O2",71.950274836009,-9.85378902344444e-05,29.0738,21.8363254752382,0.6466875302,20230605,"A",2,"70",27,-6.37232248668315e-05,"20230605_g1_blank4_O2",-7.95243471515909e-05,1.58011222847594e-05,0.00260501888422751,-2.2768684304416
"11","20230605_g1_3_O2",78.1341218527088,0.0023977132516606,28.61745,28.331390971547,0.6466113391,20230605,"H",1,"68",3,0.00155038857643408,"20230605_g1_blank2_O2",4.95827189282108e-05,0.00150080585750586,0.190703700091789,-1.23545074328438
"12","20230605_g1_33_O2",75.4577831064706,0.00075624878499205,28.3358166666667,17.478363476259,0.6473816565,20230605,"H",2,"70",33,0.000489581591154266,"20230605_g1_blank3_O2",-0.000115387717774983,0.000604969308929249,0.124604887357077,-1.49341247664261
"13","20230605_g1_38_O2",82.1928860500685,0.000377684504764272,28.61395,16.343618256438,0.6472523945,20230605,"A",1,"69",38,0.000244457200074222,"20230605_g1_blank_O2",-4.09573462727853e-05,0.000285414546347007,0.062868108562465,-1.8148145556374
