"","coral_num","temp","wound","genotype","timepoint","umol.sec.corr","drymass","SA"
"1","102","A","2",66,"day0",-0.00134247611974649,7.48391713775889,10.2779265
"2","103","A","0",66,"day0",-0.00152462282614311,8.99424890326835,13.2066045
"4","105","A","1",66,"day0",-0.00260298019745002,11.4437268226624,25.0701525
"5","18","H","0",68,"day0",-0.00162589505546313,9.2236468982336,14.7492865
"6","2","H","1",68,"day0",-0.0037052852571233,12.3028146158879,28.3475275
"7","21","A","0",70,"day0",-0.00118576756727565,7.59630675945328,10.917466
"8","23","H","1",70,"day0",-0.00124209958539535,7.43465045427642,9.88459126
"9","25","A","2",70,"day0",-0.00117613038413347,9.3822240356928,12.285564
"10","27","A","2",70,"day0",-0.00148395217619811,9.70553664604651,16.5012495
"11","3","H","1",68,"day0",-0.00254577906503115,9.92877630557645,18.5524545
"12","33","H","2",70,"day0",-0.00113859311499066,7.67174636853581,10.0424265
"13","38","A","1",69,"day0",-0.00123617342449721,8.05048399780729,9.561771
"14","4","A","2",68,"day0",-0.00355154578444825,11.5484185250626,22.0411515
"15","40","H","0",69,"day0",-0.00321553374698995,12.5922563813475,26.901793
"16","41","A","0",69,"day0",-0.00220993673102341,9.88720754138811,19.7038925
"17","48","H","1",69,"day0",-0.00132172646360975,8.54161124877316,11.2200835
"18","51","H","0",69,"day0",-0.00104296958833327,7.44542754128821,8.4441665
"19","53","A","0",69,"day0",-0.00110453223969478,7.37922543535865,8.235592
"20","56","H","1",65,"day0",-0.00241472671548383,8.33068826011384,14.5612005
"21","58","H","0",65,"day0",-0.000984343946174297,6.54785015159197,9.7158665
"22","6","A","1",68,"day0",-0.00193030013438626,9.62393870152867,17.9765
"23","60","H","0",65,"day0",-0.00230115167670269,8.24447156401952,18.8185695
"24","62","A","2",65,"day0",-0.00128161914531168,7.15290660811105,8.441105
"25","64","A","0",65,"day0",-0.00136616537297352,6.96507737733414,7.920336
"26","66","H","2",65,"day0",-0.0037495169358994,9.28984900416317,23.819726
"27","7","H","2",68,"day0",-0.00390658733625011,12.0857332917933,24.701438
"28","72","H","1",65,"day0",-0.0019460143736369,7.95041104698353,13.6717955
"29","75","A","1",67,"day0",-0.00259402773086484,9.88258878981163,20.1866675
"30","76","H","2",67,"day0",-0.0018457596405069,9.7563429133878,13.954945
"31","79","H","2",67,"day0",-0.00161566579038031,8.06741942025439,15.9606985
"32","81","H","0",67,"day0",-0.00160832615878496,9.33295735221033,10.2396185
"33","83","A","0",67,"day0",-0.00135545516083846,8.48464664599656,11.238845
"34","91","A","1",66,"day0",-0.00144602815908752,9.73016998778774,14.1465635
"35","93","H","2",66,"day0",-0.00174301298870529,9.63471578854046,18.8337985
"36","96","H","1",66,"day0",-0.0016865881972368,9.9657263181883,16.3761205
"37","1","A","0",68,"day0",-0.00269033008502577,11.4704336006392,22.4680345
"38","10","H","1",68,"day0",-0.00195702243998341,9.56766034623862,19.3291335
"39","100","H","1",66,"day0",-0.00147127359051649,8.18131020450252,13.6195145
"41","13","H","2",68,"day0",-0.00147248035070506,7.878526415232,11.47984
"42","14","H","2",68,"day0",-0.00147466158836666,9.72135770119828,12.110666
"43","16","A","2",68,"day0",-0.00268480954733562,10.9217340434332,25.3558925
"45","19","A","0",70,"day0",-0.000769308691990624,7.5649838111143,9.6147585
"46","22","A","1",70,"day0",-0.00131997821883581,8.22127151679203,10.36043
"47","26","A","1",70,"day0",-0.000649477434881886,7.88774825652957,8.60668976
"48","28","H","0",70,"day0",-0.00107075215137201,8.56862753900085,11.339482
"49","30","H","1",70,"day0",-0.00131974459277689,9.82740887612044,12.4358915
"50","32","H","0",70,"day0",-0.00124837148880275,9.18187998528989,17.049415
"51","35","H","1",70,"day0",-0.000570407070989342,6.85490203120068,7.872922
"53","42","A","2",69,"day0",-0.00180855541585393,9.40627812353098,14.538043
"54","43","H","2",69,"day0",-0.00245202414088631,10.6189502541627,21.7254245
"55","45","H","2",69,"day0",-0.00188510548824958,10.3253883061897,16.9874785
"56","47","H","0",69,"day0",-0.00157009941341865,8.03683469084044,13.235728
"58","52","A","1",69,"day0",-0.00089180770198684,6.55211824193016,7.445882
"59","55","H","2",65,"day0",-0.0019815269962746,8.35652518915653,14.2968125
"60","59","A","2",65,"day0",-0.00197221390420977,7.69101564218121,16.2560155
"61","65","A","2",65,"day0",-0.00209005678604237,8.37804281885088,16.358458
"62","69","A","1",65,"day0",-0.00105968165610849,7.14077911142564,9.3852245
"64","74","H","1",67,"day0",-0.0020018431562881,8.45489149633071,13.2631245
"65","77","A","0",67,"day0",-0.00137927996463291,7.23760844505023,10.508481
"66","82","A","2",67,"day0",-0.00105907382859037,7.53578131367196,9.9410045
"67","85","A","1",67,"day0",-0.00154969821526972,9.83509374386843,11.4931065
"68","87","A","2",67,"day0",-0.00101907716326908,6.89486334349019,8.141706
"69","88","A","1",67,"day0",-0.00120957307145748,8.54249898865771,8.241558
"70","89","H","0",67,"day0",-0.00139137038585846,8.32732269171419,10.0967485
"71","95","H","0",66,"day0",-0.00180275927604468,9.82740887612044,18.211058
