"","coral_num","umol.cm2.hr","Rate.ln","Temp.C","temp","wound","timepoint"
"1",102,0.470222669045877,-0.561728346987482,29.1648615384615,"A",2,"day0"
"2",103,0.41559828448828,-0.662427335136991,28.4654918032787,"A",0,"day0"
"4",105,0.373780283579052,-0.747011601506488,28.4351846153846,"A",1,"day0"
"5",18,0.396847820378787,-0.699471496194156,28.4772461538462,"H",0,"day0"
"6",2,0.47055345217123,-0.5611484205173,29.1916,"H",1,"day0"
"7",21,0.391003117590871,-0.711304801735531,28.4135538461538,"A",0,"day0"
"8",23,0.452376672925095,-0.59352508693189,28.4685081967213,"H",1,"day0"
"9",25,0.344637770222068,-0.810495327794356,28.5160307692308,"A",2,"day0"
"10",27,0.323746867430445,-0.858619012809326,29.2239076923077,"A",2,"day0"
"11",3,0.493994184656922,-0.520885749807277,28.5215901639344,"H",1,"day0"
"12",33,0.408161833593342,-0.676955312070689,28.4024054054054,"H",2,"day0"
"13",38,0.465418417591255,-0.570189259808091,28.4842769230769,"A",1,"day0"
"14",4,0.580076990261316,-0.385549266248472,28.3248852459016,"A",2,"day0"
"15",40,0.430302972339569,-0.634306789839545,28.4582295081967,"H",0,"day0"
"16",41,0.403766526420314,-0.68564235946967,28.5195384615385,"A",0,"day0"
"17",48,0.424080201274357,-0.646110550505856,29.0217230769231,"H",1,"day0"
"18",51,0.444649038836429,-0.607613657191438,28.4842702702703,"H",0,"day0"
"19",53,0.482820914744345,-0.539875318646891,28.4469863013699,"A",0,"day0"
"20",56,0.596998590586113,-0.360971890338273,28.4580821917808,"H",1,"day0"
"21",58,0.36472693467201,-0.76630528315061,28.5123108108108,"H",0,"day0"
"22",6,0.386564708580121,-0.720385377814227,28.5115135135135,"A",1,"day0"
"23",60,0.440211251770741,-0.615795008942464,29.0918153846154,"H",0,"day0"
"24",62,0.546590632757447,-0.436041900715866,29.0271538461538,"A",2,"day0"
"25",64,0.620957916773314,-0.327174511260139,28.5069692307692,"A",0,"day0"
"26",66,0.566684141087006,-0.405438896821174,29.2542153846154,"H",2,"day0"
"27",7,0.569348003565638,-0.401451169401069,28.5152615384615,"H",2,"day0"
"28",72,0.512416364411891,-0.490342893785722,28.5414098360656,"H",1,"day0"
"29",75,0.462607304108685,-0.575173400236598,28.3820163934426,"A",1,"day0"
"30",76,0.476156280503065,-0.551376334769126,28.3383230769231,"H",2,"day0"
"31",79,0.364419943486127,-0.766966085450591,28.3575675675676,"H",2,"day0"
"32",81,0.565448231457631,-0.407294433116893,28.1591639344262,"H",0,"day0"
"33",83,0.434176161253089,-0.627029604436623,29.2699384615385,"A",0,"day0"
"34",91,0.367983459213616,-0.759322327249738,28.5645479452055,"A",1,"day0"
"35",93,0.333169475044509,-0.836626230224173,28.3500163934426,"H",2,"day0"
"36",96,0.370766538390607,-0.753392980058575,29.1662923076923,"H",1,"day0"
"37",1,0.431065223177077,-0.632870434441336,29.8481666666667,"A",0,"day0"
"38",10,0.364490254254816,-0.766814702100524,28.1347846153846,"H",1,"day0"
"39",100,0.388896750016998,-0.715603956961056,28.3875806451613,"H",1,"day0"
"41",13,0.461759855759157,-0.576680823328003,29.441025974026,"H",2,"day0"
"42",14,0.438355885474836,-0.619235440348042,28.2683870967742,"H",2,"day0"
"43",16,0.381186123517768,-0.731501132542287,28.1706923076923,"A",2,"day0"
"45",19,0.288047930810352,-0.946626413972066,29.4387402597403,"A",0,"day0"
"46",22,0.458660652869515,-0.582213051219531,29.7454833333333,"A",1,"day0"
"47",26,0.271662954140779,-0.989767872664808,29.2560779220779,"A",1,"day0"
"48",28,0.339936845875257,-0.821124094473236,28.4202096774194,"H",0,"day0"
"49",30,0.382045833545333,-0.729716079109322,28.2804153846154,"H",1,"day0"
"50",32,0.263594813058976,-1.01171518229493,29.6830166666667,"H",0,"day0"
"51",35,0.260826343200356,-1.01935848015426,28.0692461538462,"H",1,"day0"
"53",42,0.447845662382079,-0.601761669690454,29.2995454545455,"A",2,"day0"
"54",43,0.406311366076677,-0.680603450965984,28.402935483871,"H",2,"day0"
"55",45,0.399493059414233,-0.694161576056667,28.3918064516129,"H",2,"day0"
"56",47,0.427053040702192,-0.640454089011571,29.3265324675325,"H",0,"day0"
"58",52,0.43117896941593,-0.632656272311609,29.80875,"A",1,"day0"
"59",55,0.498957175705322,-0.512565176401861,28.3473709677419,"H",2,"day0"
"60",59,0.436759552496438,-0.622205045462303,28.1968615384615,"A",2,"day0"
"61",65,0.459958049209317,-0.579893410185215,28.2612307692308,"A",2,"day0"
"62",69,0.406474449491385,-0.680281401795053,29.78825,"A",1,"day0"
"64",74,0.543358796235168,-0.441052706894411,29.5978,"H",1,"day0"
"65",77,0.472514331298546,-0.55771751103117,29.3395064935065,"A",0,"day0"
"66",82,0.383529228150467,-0.726643514725676,28.2243225806452,"A",2,"day0"
"67",85,0.485413893534441,-0.53543617160243,28.3540483870968,"A",1,"day0"
"68",87,0.450603078491004,-0.596741095132334,28.2682923076923,"A",2,"day0"
"69",88,0.528354354510023,-0.46465101287414,29.88685,"A",1,"day0"
"70",89,0.496093706710676,-0.517357398250879,29.4304675324675,"H",0,"day0"
"71",95,0.356373220806877,-0.78444433754721,28.2743384615385,"H",0,"day0"
