"","coral_id","Intercept","umol.L.sec","Temp.C","surf.area.cm2","chamber_vol","date","temp","wound","genotype","coral_num","umol.sec","blank_id","blank.umol.sec","umol.sec.corr","umol.cm2.hr","Rate.ln"
"1","20230605_g1_102_O2",79.253228337146,-0.00232558653538001,29.1648615384615,17.6053468699056,0.6474457621,20230605,"A",2,"66",102,-0.00150569114672861,"20230605_g1_blank4_O2",-0.000163215026982122,-0.00134247611974649,0.274513990936963,-0.982126117745487
"2","20230605_g1_103_O2",80.4405040232582,-0.00236797730052814,28.4654918032787,19.7046255265744,0.6469302905,20230605,"A",0,"66",103,-0.00153191624292808,"20230605_g1_blank2_O2",-7.29341678496301e-06,-0.00152462282614311,0.278545875774853,-0.97141800928849
"3","20230605_g1_104_O2",67.4902412945219,-0.00368139221341816,28.5221621621622,34.5805950035612,0.6460690693,20230605,"A",2,"66",104,-0.00237843364105134,"20230605_g1_blank3_O2",-3.21669304651722e-05,-0.00234626671058617,0.24425722452839,-1.06636615530922
"4","20230605_g1_105_O2",74.8665040522992,-0.0039956923416694,28.4351846153846,35.9747105593413,0.6460942912,20230605,"A",1,"66",105,-0.00258159401134416,"20230605_g1_blank_O2",2.13861861058597e-05,-0.00260298019745002,0.260481003602872,-1.02031601822842
"5","20230605_g1_18_O2",79.7329956849092,-0.00248048838885934,28.4772461538462,23.4952149156432,0.6468519976,20230605,"H",0,"68",18,-0.00160450886935727,"20230605_g1_blank_O2",2.13861861058597e-05,-0.00162589505546313,0.249124011875719,-1.05232808500875
"6","20230605_g1_2_O2",78.155262477483,-0.0059902350131959,29.1916,49.0972284942714,0.6458010872,20230605,"H",1,"68",2,-0.00386850028410542,"20230605_g1_blank4_O2",-0.000163215026982122,-0.0037052852571233,0.271685945107884,-0.989706014855814
"7","20230605_g1_21_O2",83.4008278107287,-0.00179852960336162,28.4135538461538,15.9950893674929,0.6474074038,20230605,"A",0,"70",21,-0.00116438138116979,"20230605_g1_blank_O2",2.13861861058597e-05,-0.00118576756727565,0.266879611868117,-1.00272151779908
"8","20230605_g1_23_O2",81.8584779332888,-0.0019296760111468,28.4685081967213,14.5145170330597,0.6474625766,20230605,"H",1,"70",23,-0.00124939300218032,"20230605_g1_blank2_O2",-7.29341678496301e-06,-0.00124209958539535,0.308074908537322,-0.896304522074094
"9","20230605_g1_25_O2",77.888876252425,-0.00178532466050442,28.5160307692308,18.0241218915062,0.6467978758,20230605,"A",2,"70",25,-0.00115474419802762,"20230605_g1_blank_O2",2.13861861058597e-05,-0.00117613038413347,0.234911271038164,-1.093889644812
"10","20230605_g1_27_O2",72.0866528489003,-0.00254708360105663,29.2239076923077,21.8363254752382,0.6466875302,20230605,"A",2,"70",27,-0.00164716720318023,"20230605_g1_blank4_O2",-0.000163215026982122,-0.00148395217619811,0.244648663089911,-1.06522974869496
"11","20230605_g1_3_O2",80.7819459655319,-0.00394838804616335,28.5215901639344,28.331390971547,0.6466113391,20230605,"H",1,"68",3,-0.00255307248181612,"20230605_g1_blank2_O2",-7.29341678496301e-06,-0.00254577906503115,0.32348586920128,-0.859235132149709
"12","20230605_g1_33_O2",76.6465875559151,-0.00180845415328173,28.4024054054054,17.478363476259,0.6473816565,20230605,"H",2,"70",33,-0.00117076004545583,"20230605_g1_blank3_O2",-3.21669304651722e-05,-0.00113859311499066,0.234514817107105,-1.09507410411059
"13","20230605_g1_38_O2",82.7925164336538,-0.00187683699390524,28.4842769230769,16.343618256438,0.6472523945,20230605,"A",1,"69",38,-0.00121478723839135,"20230605_g1_blank_O2",2.13861861058597e-05,-0.00123617342449721,0.27229125511647,-0.988078787188168
"14","20230605_g1_4_O2",71.8812110259332,-0.00550853965951864,28.3248852459016,37.2823693364684,0.6460585602,20230605,"A",2,"68",4,-0.00355883920123321,"20230605_g1_blank2_O2",-7.29341678496301e-06,-0.00355154578444825,0.342938634307967,-0.814324041539046
"15","20230605_g1_40_O2",78.7867931515999,-0.00499119664865526,28.4582295081967,44.4609837390027,0.6457023016,20230605,"H",0,"69",40,-0.00322282716377491,"20230605_g1_blank2_O2",-7.29341678496301e-06,-0.00321553374698995,0.260361344164524,-1.02064801714557
"16","20230605_g1_41_O2",80.1761319860086,-0.00338457183573004,28.5195384615385,29.2743102137316,0.6466255264,20230605,"A",0,"69",41,-0.00218855054491755,"20230605_g1_blank_O2",2.13861861058597e-05,-0.00220993673102341,0.271766343035899,-0.989489732171344
"17","20230605_g1_48_O2",75.2707750908195,-0.00229481754102195,29.0217230769231,17.7755586528787,0.6470847743,20230605,"H",1,"69",48,-0.00148494149059187,"20230605_g1_blank4_O2",-0.000163215026982122,-0.00132172646360975,0.26768302262188,-1.00053406356061
"18","20230605_g1_51_O2",75.9050910347776,-0.00166054790703976,28.4842702702703,15.9545627524993,0.6474588985,20230605,"H",0,"69",51,-0.00107513651879844,"20230605_g1_blank3_O2",-3.21669304651722e-05,-0.00104296958833327,0.235336472471589,-1.0926208557871
"19","20230605_g1_53_O2",76.1093135765137,-0.00175557013204075,28.4469863013699,14.506411710061,0.647481493,20230605,"A",0,"69",53,-0.00113669917015995,"20230605_g1_blank3_O2",-3.21669304651722e-05,-0.00110453223969478,0.274107487252923,-0.983212123786821
"20","20230605_g1_56_O2",62.3569464072753,-0.00378099062045079,28.4580821917808,21.0420038213635,0.6471567617,20230605,"H",1,"65",56,-0.00244689364594901,"20230605_g1_blank3_O2",-3.21669304651722e-05,-0.00241472671548383,0.413126822404431,-0.66723224720186
"21","20230605_g1_58_O2",73.3319069556656,-0.00156925814414749,28.5123108108108,11.4750209085392,0.6477652389,20230605,"H",0,"65",58,-0.00101651087663947,"20230605_g1_blank3_O2",-3.21669304651722e-05,-0.000984343946174297,0.308813224348066,-0.894496891427837
"22","20230605_g1_6_O2",63.9118585586511,-0.00303451429742647,28.5115135135135,28.2395306442282,0.6467153793,20230605,"A",1,"68",6,-0.00196246706485143,"20230605_g1_blank3_O2",-3.21669304651722e-05,-0.00193030013438626,0.246076344941337,-1.0610958781446
"23","20230605_g1_60_O2",80.7687444512073,-0.00380781721307542,29.0918153846154,26.5428163631625,0.6471861872,20230605,"H",0,"65",60,-0.00246436670368481,"20230605_g1_blank4_O2",-0.000163215026982122,-0.00230115167670269,0.312105012625068,-0.886477077097976
"24","20230605_g1_62_O2",79.6524329654663,-0.00223120173418234,29.0271538461538,15.1170127092981,0.6475587349,20230605,"A",2,"65",62,-0.0014448341722938,"20230605_g1_blank4_O2",-0.000163215026982122,-0.00128161914531168,0.305207716090905,-0.903355464116399
"25","20230605_g1_64_O2",80.7683045159469,-0.00207648511258408,28.5069692307692,15.6276480582175,0.6476228405,20230605,"A",0,"65",64,-0.00134477918686766,"20230605_g1_blank_O2",2.13861861058597e-05,-0.00136616537297352,0.314711166029782,-0.880172986532167
"26","20230605_g1_66_O2",67.1136251768225,-0.00604909415702089,29.2542153846154,36.9878759341815,0.6468294031,20230605,"H",2,"65",66,-0.00391273196288152,"20230605_g1_blank4_O2",-0.000163215026982122,-0.0037495169358994,0.364937445806768,-0.765852407590835
"27","20230605_g1_7_O2",80.3098780273899,-0.00601540559555131,28.5152615384615,42.9452883382418,0.6458751764,20230605,"H",2,"68",7,-0.00388520115014425,"20230605_g1_blank_O2",2.13861861058597e-05,-0.00390658733625011,0.3274797994074,-0.84984824456996
"28","20230605_g1_72_O2",80.6299466433155,-0.00301768636029558,28.5414098360656,20.9906701090382,0.6472865491,20230605,"H",1,"65",72,-0.00195330779042187,"20230605_g1_blank2_O2",-7.29341678496301e-06,-0.0019460143736369,0.333750743006358,-0.835285234739578
"29","20230605_g1_75_O2",81.1394139021263,-0.00402290769500019,28.3820163934426,28.3692158122077,0.6466271028,20230605,"A",1,"67",75,-0.0026013211476498,"20230605_g1_blank2_O2",-7.29341678496301e-06,-0.00259402773086484,0.329177228335473,-0.845885325701446
"30","20230605_g1_76_O2",78.2741201681372,-0.00282118069199838,28.3383230769231,20.882599135722,0.6466701901,20230605,"H",2,"67",76,-0.00182437345440104,"20230605_g1_blank_O2",2.13861861058597e-05,-0.0018457596405069,0.318194811988624,-0.871807897639341
"31","20230605_g1_79_O2",67.4873509369376,-0.00254591168795597,28.3575675675676,22.3766803418196,0.6472466145,20230605,"H",2,"67",79,-0.00164783272084548,"20230605_g1_blank3_O2",-3.21669304651722e-05,-0.00161566579038031,0.259931176408633,-1.02184244245125
"32","20230605_g1_81_O2",76.404537564967,-0.00249780903216743,28.1591639344262,19.6073616505898,0.6468146903,20230605,"H",0,"67",81,-0.00161561957556992,"20230605_g1_blank2_O2",-7.29341678496301e-06,-0.00160832615878496,0.295295933986696,-0.928120594624893
"33","20230605_g1_83_O2",77.3854321905399,-0.00234687110638638,29.2699384615385,18.3348259397905,0.6471042162,20230605,"A",0,"67",83,-0.00151867018782059,"20230605_g1_blank4_O2",-0.000163215026982122,-0.00135545516083846,0.266140436513695,-1.00473831285565
"34","20230605_g1_91_O2",68.5319060025922,-0.00228582466513501,28.5645479452055,19.7289414955706,0.6466791229,20230605,"A",1,"66",91,-0.00147819508955269,"20230605_g1_blank3_O2",-3.21669304651722e-05,-0.00144602815908752,0.263861159195177,-1.0109829148911
"35","20230605_g1_93_O2",77.4905845157096,-0.00270647090892764,28.3500163934426,21.1608818920114,0.6467117011,20230605,"H",2,"66",93,-0.00175030640549026,"20230605_g1_blank2_O2",-7.29341678496301e-06,-0.00174301298870529,0.296530493925583,-0.925002333107654
"36","20230605_g1_96_O2",77.5696191413353,-0.00286082100620333,29.1662923076923,22.3442590498247,0.6465987282,20230605,"H",1,"66",96,-0.00184980322421892,"20230605_g1_blank4_O2",-0.000163215026982122,-0.0016865881972368,0.271735012403559,-0.989574010786651
"37","20230606_g2_1_O2",70.0686034205383,-0.00417859937900534,29.8481666666667,34.4536116099147,0.6460851762,20230606,"A",0,"68",1,-0.00269973111605388,"20230606_g2_blank_O2",-9.40103102810983e-06,-0.00269033008502577,0.28110807121613,-0.964672292591009
"38","20230606_g2_10_O2",77.0678361412502,-0.00318964770636327,28.1347846153846,25.1405954843837,0.6467345869,20230606,"H",1,"68",10,-0.00206285549173138,"20230606_g2_blank4_O2",-0.000105833051747972,-0.00195702243998341,0.280235238990919,-0.966965167817997
"39","20230606_g2_100_O2",69.0062042085715,-0.00244157200395534,28.3875806451613,18.6320211164103,0.647207744,20230606,"H",1,"66",100,-0.00158020430849349,"20230606_g2_blank3_O2",-0.000108930717977001,-0.00147127359051649,0.284273235456693,-0.956401428758092
"40","20230606_g2_11_O2",74.3891758023618,-0.00357336810838225,29.325987012987,23.8275331585908,0.6469449372,20230606,"A",0,"68",11,-0.00231177240646984,"20230606_g2_blank2_O2",-0.000297007505697447,-0.00201476490077239,0.304402205402684,-0.90534533833268
"41","20230606_g2_13_O2",68.9391833774266,-0.00273359734229847,29.441025974026,19.0832174300058,0.6473110831,20230606,"H",2,"68",13,-0.0017694878564025,"20230606_g2_blank2_O2",-0.000297007505697447,-0.00147248035070506,0.277779639726957,-0.973444217037245
"42","20230606_g2_14_O2",76.1750972095592,-0.00244879552357395,28.2683870967742,17.0595884546583,0.6466821305,20230606,"H",2,"68",14,-0.00158359230634367,"20230606_g2_blank3_O2",-0.000108930717977001,-0.00147466158836666,0.311190491624689,-0.888698688589348
"43","20230606_g2_16_O2",74.626732739474,-0.00431805907500969,28.1706923076923,40.2164962620056,0.6462724457,20230606,"A",2,"68",16,-0.00279064259908359,"20230606_g2_blank4_O2",-0.000105833051747972,-0.00268480954733562,0.240332084312862,-1.07783341948391
"44","20230606_g2_19_O2",72.2400943431173,-0.00164702872390521,29.4387402597403,13.5824048882068,0.6474180943,20230606,"A",0,"70",19,-0.00106631619768807,"20230606_g2_blank2_O2",-0.000297007505697447,-0.000769308691990624,0.203904339029897,-1.19104230134
"45","20230606_g2_22_O2",77.939104489434,-0.00205406575705398,29.7454833333333,16.0464230798181,0.6471941053,20230606,"A",1,"70",22,-0.00132937924986392,"20230606_g2_blank_O2",-9.40103102810983e-06,-0.00131997821883581,0.296135878019163,-0.925998000271008
"46","20230606_g2_26_O2",70.9861759086076,-0.00146218652418621,29.2560779220779,12.5476253187034,0.6473079357,20230606,"A",1,"70",26,-0.000946484940579334,"20230606_g2_blank2_O2",-0.000297007505697447,-0.000649477434881886,0.186339542836812,-1.25057695962589
"47","20230606_g2_28_O2",73.1059817026825,-0.00182309911509336,28.4202096774194,17.943068661519,0.6470755537,20230606,"H",0,"70",28,-0.00117968286934902,"20230606_g2_blank3_O2",-0.000108930717977001,-0.00107075215137201,0.214829905500285,-1.15572276853836
"48","20230606_g2_30_O2",71.7924471447543,-0.00220457218744069,28.2804153846154,22.4577335718069,0.6466459355,20230606,"H",1,"70",30,-0.00142557764452487,"20230606_g2_blank4_O2",-0.000105833051747972,-0.00131974459277689,0.21155654549047,-1.1661744307744
"49","20230606_g2_32_O2",79.1500766756655,-0.00194440893272048,29.6830166666667,25.826846164942,0.6468662526,20230606,"H",0,"70",32,-0.00125777251983086,"20230606_g2_blank_O2",-9.40103102810983e-06,-0.00124837148880275,0.174010304277506,-1.29458956644897
"50","20230606_g2_35_O2",72.724467776648,-0.00104412756722478,28.0692461538462,9.85665808312786,0.647660443,20230606,"H",1,"70",35,-0.000676240122737313,"20230606_g2_blank4_O2",-0.000105833051747972,-0.000570407070989342,0.208332828251053,-1.17657546824386
"51","20230606_g2_37_O2",73.9971266809872,-0.00223749041656019,28.3136615384615,23.2736694203448,0.6468221892,20230606,"A",0,"69",37,-0.00144725844955348,"20230606_g2_blank4_O2",-0.000105833051747972,-0.00134142539780551,0.207493341289725,-1.17930184631238
"52","20230606_g2_42_O2",75.5430941246389,-0.00325540594042252,29.2995454545455,23.8059189639275,0.6467896662,20230606,"A",2,"69",42,-0.00210556292155138,"20230606_g2_blank2_O2",-0.000297007505697447,-0.00180855541585393,0.27349498697949,-0.984850696240997
"53","20230606_g2_43_O2",76.4302909625852,-0.00396202165781862,28.402935483871,33.5917455977173,0.6463757849,20230606,"H",2,"69",43,-0.00256095485886331,"20230606_g2_blank3_O2",-0.000108930717977001,-0.00245202414088631,0.26278142889337,-1.01395475032759
"54","20230606_g2_45_O2",71.8085797243517,-0.00308447069666121,28.3918064516129,30.4225643052172,0.6464759767,20230606,"H",2,"69",45,-0.00199403620622659,"20230606_g2_blank3_O2",-0.000108930717977001,-0.00188510548824958,0.22307060278067,-1.1298843951853
"55","20230606_g2_47_O2",74.8839643687819,-0.00288464515058146,29.3265324675325,20.6016146050996,0.647257053,20230606,"H",0,"69",47,-0.0018671069191161,"20230606_g2_blank2_O2",-0.000297007505697447,-0.00157009941341865,0.27436480084954,-0.982524553623317
"56","20230606_g2_5_O2",65.0969138493657,-0.00826306413838631,28.4190806451613,54.2630210187899,0.6446384278,20230606,"H",0,"68",5,-0.00532668867497991,"20230606_g2_blank3_O2",-0.000108930717977001,-0.00521775795700291,0.346164446662601,-0.80706768043042
"57","20230606_g2_52_O2",77.6374505121261,-0.00139126137919316,29.80875,10.5266981176888,0.6477637822,20230606,"A",1,"69",52,-0.00090120873301495,"20230606_g2_blank_O2",-9.40103102810983e-06,-0.00089180770198684,0.304987156585954,-0.903899924511885
"58","20230606_g2_55_O2",73.3783390641275,-0.00323026246923177,28.3473709677419,22.6225418061141,0.6471479436,20230606,"H",2,"65",55,-0.0020904577142516,"20230606_g2_blank3_O2",-0.000108930717977001,-0.0019815269962746,0.315326953431051,-0.878689229341252
"59","20230606_g2_59_O2",74.4039276499568,-0.00320995821457591,28.1968615384615,25.48101905033,0.64737508,20230606,"A",2,"65",59,-0.00207804695595774,"20230606_g2_blank4_O2",-0.000105833051747972,-0.00197221390420977,0.278637602410301,-0.971175725513052
"60","20230606_g2_65_O2",75.3551159862398,-0.00339321909150548,28.2612307692308,27.1750315570628,0.6471405997,20230606,"A",2,"65",65,-0.00219588983779035,"20230606_g2_blank4_O2",-0.000105833051747972,-0.00209005678604237,0.276879326301905,-0.975830232158535
"61","20230606_g2_69_O2",74.910826015317,-0.00165093264308509,29.78825,12.1585698147647,0.647562874,20230606,"A",1,"65",69,-0.0010690826871366,"20230606_g2_blank_O2",-9.40103102810983e-06,-0.00105968165610849,0.313758445286714,-0.882472940930079
"62","20230606_g2_71_O2",71.151567489524,-0.00469053632068881,29.2961818181818,31.8031709893327,0.6468221892,20230606,"A",1,"65",71,-0.00303394297147005,"20230606_g2_blank2_O2",-0.000297007505697447,-0.0027369354657726,0.309810857542671,-0.892059548792663
"63","20230606_g2_74_O2",80.09773927867,-0.00310801965756715,29.5978,17.9052438208582,0.6471143715,20230606,"H",1,"67",74,-0.00201124418731621,"20230606_g2_blank_O2",-9.40103102810983e-06,-0.0020018431562881,0.402487418475809,-0.688184677221445
"64","20230606_g2_77_O2",74.4982825717618,-0.00258874171000115,29.3395064935065,18.8670754833733,0.6475298265,20230606,"A",0,"67",77,-0.00167628747033036,"20230606_g2_blank2_O2",-0.000297007505697447,-0.00137927996463291,0.263178460119814,-1.01286093985117
"65","20230606_g2_82_O2",71.240060824784,-0.00180406846246871,28.2243225806452,14.2983750864272,0.647428061,20230606,"A",2,"67",82,-0.00116800454656737,"20230606_g2_blank3_O2",-0.000108930717977001,-0.00105907382859037,0.266650284377035,-1.00334678883364
"66","20230606_g2_85_O2",74.1178211739708,-0.00256498273572376,28.3540483870968,20.3449460434734,0.6466433127,20230606,"A",1,"67",85,-0.00165862893324672,"20230606_g2_blank3_O2",-0.000108930717977001,-0.00154969821526972,0.274216189271275,-0.982921602392064
"67","20230606_g2_87_O2",70.788081268566,-0.00173691927073259,28.2682923076923,14.9305902803275,0.6476468043,20230606,"A",2,"67",87,-0.00112491021501705,"20230606_g2_blank4_O2",-0.000105833051747972,-0.00101907716326908,0.245715522219006,-1.06213903222657
"68","20230606_g2_88_O2",76.5163396016176,-0.00188379439864575,29.88685,13.2527884195921,0.6470844713,20230606,"A",1,"67",88,-0.00121897410248559,"20230606_g2_blank_O2",-9.40103102810983e-06,-0.00120957307145748,0.328569574898634,-0.847302185633079
"69","20230606_g2_89_O2",74.4179324046115,-0.00260891177359361,29.4304675324675,18.9778482310224,0.6471579103,20230606,"H",0,"67",89,-0.00168837789155591,"20230606_g2_blank2_O2",-0.000297007505697447,-0.00139137038585846,0.263935791250693,-1.01077782456823
"70","20230606_g2_95_O2",71.4683732822518,-0.00295152605624419,28.2743384615385,27.5640870610014,0.6466459355,20230606,"H",0,"66",95,-0.00190859232779265,"20230606_g2_blank4_O2",-0.000105833051747972,-0.00180275927604468,0.235448878803718,-1.09228570734366
"71","20230606_g2_98_O2",74.8095484876916,-0.00333779856968972,29.6681,26.7616600841279,0.6461816961,20230606,"H",2,"66",98,-0.00215682434100226,"20230606_g2_blank_O2",-9.40103102810983e-06,-0.00214742330997415,0.288873107707244,-0.944502189845622
"72","20230607_g3_101_O2",80.601868695256,-0.00165039451889133,28.5873606557377,13.5499835962119,0.647508909,20230607,"A",2,"66",101,-0.0010686451543469,"20230607_g3_blank_O2",-9.23047000672849e-05,-0.00097634045427962,0.259397039889351,-1.02332754092327
"73","20230607_g3_106_O2",79.2730949995562,-0.00251574275035129,28.5348333333333,21.0663197903596,0.6465974319,20230607,"A",1,"66",106,-0.00162667280169819,"20230607_g3_blank3_O2",-7.79396428261185e-05,-0.00154873315887207,0.26466129003182,-1.00878632874826
"74","20230607_g3_107_O2",77.4770436370214,-0.00126465960767486,28.4799166666667,10.6752957059987,0.6476725343,20230607,"A",0,"66",107,-0.00081908529312962,"20230607_g3_blank3_O2",-7.79396428261185e-05,-0.000741145650303502,0.249934466882573,-1.05000937950816
"75","20230607_g3_108_O2",80.4071713806092,-0.00222638074682823,28.2906333333333,21.9930283865468,0.6472823508,20230607,"A",0,"66",108,-0.00144109696358284,"20230607_g3_blank4_O2",-5.35592202513185e-05,-0.00138753774333152,0.227123604271298,-1.11741718479344
"76","20230607_g3_12_O2",80.7977104506812,-0.0038352667209169,28.4708166666667,34.6832624282118,0.6464065356,20230607,"A",1,"68",12,-0.00247914147416987,"20230607_g3_blank3_O2",-7.79396428261185e-05,-0.00240120183134375,0.24923625944156,-1.05200662466395
"77","20230607_g3_15_O2",78.4040446150785,-0.00160249439259099,28.5035901639344,16.6948489197158,0.6472582265,20230607,"A",0,"68",15,-0.00103722767852464,"20230607_g3_blank_O2",-9.23047000672849e-05,-0.000944922978457354,0.203758820388557,-1.19152124643275
"78","20230607_g3_20_O2",81.0611900884203,-0.00166222155037941,28.2304666666667,13.4311055255641,0.647355248,20230607,"A",1,"70",20,-0.00107604784397681,"20230607_g3_blank4_O2",-5.35592202513185e-05,-0.00102248862372549,0.274062253357002,-0.983333042593132
"79","20230607_g3_24_O2",80.7582956343373,-0.00151960911228855,28.2989833333333,17.3189587906174,0.6473688834,20230607,"H",2,"70",24,-0.000983747654226704,"20230607_g3_blank4_O2",-5.35592202513185e-05,-0.000930188433975385,0.193353330462657,-1.22637749046982
"80","20230607_g3_29_O2",82.5668156263765,-0.00213299391112838,28.5077704918033,17.0676937776571,0.6469325492,20230607,"A",2,"70",29,-0.00137990318835436,"20230607_g3_blank_O2",-9.23047000672849e-05,-0.00128759848828708,0.271586461429342,-0.989973705888769
"81","20230607_g3_31_O2",81.3915988290485,-0.00216078067998907,28.4211333333333,18.0781573781643,0.6462906343,20230607,"H",2,"70",31,-0.00139649231625332,"20230607_g3_blank3_O2",-7.79396428261185e-05,-0.0013185526734272,0.262570433758439,-1.01453652353793
"82","20230607_g3_34_O2",81.9167805102275,-0.00197993564697767,28.3195333333333,18.0673502808327,0.6471606807,20230607,"A",0,"70",34,-0.00128133650104026,"20230607_g3_blank3_O2",-7.79396428261185e-05,-0.00120339685821415,0.239782182900771,-1.07945050519562
"83","20230607_g3_36_O2",79.5044337388287,-0.00228802647240263,28.2749166666667,22.4361193771436,0.6468135012,20230607,"H",0,"70",36,-0.00147992641345303,"20230607_g3_blank4_O2",-5.35592202513185e-05,-0.00142636719320171,0.228868540464144,-1.11209718112466
"84","20230607_g3_39_O2",77.3783823196791,-0.00221648444241407,28.271,23.0818434427083,0.647206307,20230607,"H",2,"69",39,-0.00143452271049776,"20230607_g3_blank3_O2",-7.79396428261185e-05,-0.00135658306767165,0.2115818459535,-1.1660932274225
"85","20230607_g3_44_O2",82.5728349884703,-0.00333734025746012,28.3711166666667,32.5542642538809,0.6468853495,20230607,"A",2,"69",44,-0.00215887651884751,"20230607_g3_blank2_O2",-4.91019734500688e-05,-0.00210977454539744,0.233308555346181,-1.09868662539247
"86","20230607_g3_46_O2",82.1193648898239,-0.00193691542145928,28.5696557377049,15.7708420978616,0.647126592,20230607,"H",1,"69",46,-0.00125342947568119,"20230607_g3_blank_O2",-9.23047000672849e-05,-0.0011611247756139,0.265049207028509,-1.00772312070947
"87","20230607_g3_49_O2",78.9455058868286,-0.00257770480898027,28.4810666666667,24.4192217374974,0.6469477579,20230607,"A",2,"69",49,-0.00166764034669783,"20230607_g3_blank2_O2",-4.91019734500688e-05,-0.00161853837324776,0.238612770150025,-1.08289809543425
"88","20230607_g3_50_O2",84.3743992844821,-0.00319978924473113,28.3088333333333,26.9832055794263,0.6465712098,20230607,"H",1,"69",50,-0.00206889160307084,"20230607_g3_blank2_O2",-4.91019734500688e-05,-0.00201978962962077,0.269472900290943,-0.995677882850642
"89","20230607_g3_54_O2",79.3187333296413,-0.00112955458338324,28.2773166666667,11.7506018904958,0.6475340821,20230607,"A",1,"69",54,-0.000731425090332914,"20230607_g3_blank2_O2",-4.91019734500688e-05,-0.000682323116882845,0.209041480910439,-1.17427976866549
"90","20230607_g3_57_O2",81.0388776926666,-0.00292251988787478,28.3501666666667,26.9561878360973,0.6472629465,20230607,"A",0,"65",57,-0.00189163883383068,"20230607_g3_blank2_O2",-4.91019734500688e-05,-0.00184253686038061,0.246070873882535,-1.06111168709002
"91","20230607_g3_61_O2",75.1583468282351,-0.00177616176543028,28.4207,15.2710138462738,0.6477113429,20230607,"H",0,"65",61,-0.00115044012229448,"20230607_g3_blank3_O2",-7.79396428261185e-05,-0.00107250047946836,0.252832049329076,-1.04176311620597
"92","20230607_g3_63_O2",78.1382749279318,-0.00232779883845287,28.5821967213115,19.0399890406792,0.6474816381,20230607,"H",2,"65",63,-0.00150720700508874,"20230607_g3_blank_O2",-9.23047000672849e-05,-0.00141490230502146,0.267523699052273,-1.00096747519139
"93","20230607_g3_67_O2",76.3572345075973,-0.00172353385491795,28.3548833333333,15.0278541563122,0.6467815104,20230607,"A",1,"65",67,-0.00111474982990937,"20230607_g3_blank4_O2",-5.35592202513185e-05,-0.00106119060965805,0.254213685801864,-1.03785491575235
"94","20230607_g3_68_O2",75.6760333185568,-0.00196268148351416,28.1843666666667,17.621557515903,0.6476242858,20230607,"A",0,"65",68,-0.00127108019401374,"20230607_g3_blank4_O2",-5.35592202513185e-05,-0.00121752097376242,0.248733717299911,-1.05344663568229
