"","coral_id","Intercept","umol.L.sec","Temp.C","surf.area.cm2","chamber_vol","date","temp","wound","genotype","coral_num","umol.sec","blank_id","blank.umol.sec","umol.sec.corr","umol.cm2.hr","Rate.ln"
"1","20230605_g1_102_O2",78.782952644809,0.000280990074751537,29.0704666666667,10.2779265,0.6474457621,20230605,"A",2,"66",102,0.000181925833090045,"20230605_g1_blank4_O2",-7.95243471515909e-05,0.000261450180241636,0.0915769001529529,-1.65246598358969
"2","20230605_g1_103_O2",79.5004456207265,0.000853906696286886,28.5373666666667,13.2066045,0.6469302905,20230605,"A",0,"66",103,0.00055241810708877,"20230605_g1_blank2_O2",4.95827189282108e-05,0.00050283538816056,0.137068343144373,-1.4394068117192
"3","20230605_g1_104_O2",65.4972887336348,0.00131958243492725,28.4553333333333,23.669006,0.6460690693,20230605,"A",2,"66",104,0.000852541395598076,"20230605_g1_blank3_O2",-0.000115387717774983,0.000967929113373059,0.14721973572287,-1.39747771951879
"4","20230605_g1_105_O2",73.4146647707908,0.00113006865662593,28.4967166666667,25.0701525,0.6460942912,20230605,"A",1,"66",105,0.000730130907710066,"20230605_g1_blank_O2",-4.09573462727853e-05,0.000771088253982852,0.110726000343965,-1.55719656595615
"5","20230605_g1_18_O2",78.7508332405183,0.000718996103713041,28.56695,14.7492865,0.6468519976,20230605,"H",0,"68",18,0.000465084065953397,"20230605_g1_blank_O2",-4.09573462727853e-05,0.000506041412226183,0.123514387222342,-1.49827949464085
"6","20230605_g1_2_O2",73.6581918756135,0.00396843159245587,29.0657166666667,28.3475275,0.6458010872,20230605,"H",1,"68",2,0.00256281743688683,"20230605_g1_blank4_O2",-7.95243471515909e-05,0.00264234178403842,0.335564730382158,-0.831111859102791
"7","20230605_g1_21_O2",82.9498542029977,0.000213298425346192,28.52915,10.917466,0.6474074038,20230605,"A",0,"70",21,0.000138090979788006,"20230605_g1_blank_O2",-4.09573462727853e-05,0.000179048326060792,0.0590406211312084,-1.83859563057843
"8","20230605_g1_23_O2",81.5433550796053,0.000219189817672661,28.5596333333333,9.88459126,0.6474625766,20230605,"H",1,"70",23,0.000141917204114825,"20230605_g1_blank2_O2",4.95827189282108e-05,9.23344851866145e-05,0.0336285171463744,-2.01269158896274
"9","20230605_g1_25_O2",77.405889144104,0.000288238522572272,28.6192,12.285564,0.6467978758,20230605,"A",2,"70",25,0.000186432064123476,"20230605_g1_blank_O2",-4.09573462727853e-05,0.000227389410396261,0.066631200441961,-1.79197228922086
"10","20230605_g1_27_O2",71.950274836009,-9.85378902344444e-05,29.0738,16.5012495,0.6466875302,20230605,"A",2,"70",27,-6.37232248668315e-05,"20230605_g1_blank4_O2",-7.95243471515909e-05,1.58011222847594e-05,0.00344725653806602,-2.26869339483227
"11","20230605_g1_3_O2",78.1341218527088,0.0023977132516606,28.61745,18.5524545,0.6466113391,20230605,"H",1,"68",3,0.00155038857643408,"20230605_g1_blank2_O2",4.95827189282108e-05,0.00150080585750586,0.291222980065582,-0.938477600047817
"12","20230605_g1_33_O2",75.4577831064706,0.00075624878499205,28.3358166666667,10.0424265,0.6473816565,20230605,"H",2,"70",33,0.000489581591154266,"20230605_g1_blank3_O2",-0.000115387717774983,0.000604969308929249,0.216868852577143,-1.1492673049759
"13","20230605_g1_38_O2",82.1928860500685,0.000377684504764272,28.61395,9.561771,0.6472523945,20230605,"A",1,"69",38,0.000244457200074222,"20230605_g1_blank_O2",-4.09573462727853e-05,0.000285414546347007,0.107458374274936,-1.57282456533936
"14","20230605_g1_4_O2",70.9292910662308,0.000527950430579441,28.27165,22.0411515,0.6460585602,20230605,"A",2,"68",4,0.000341086895037124,"20230605_g1_blank2_O2",4.95827189282108e-05,0.000291504176108913,0.0476116247371235,-1.91317061153545
"15","20230605_g1_40_O2",76.1347762985693,0.00225113837757825,28.4954,26.901793,0.6457023016,20230605,"H",0,"69",40,0.00145356523162237,"20230605_g1_blank2_O2",4.95827189282108e-05,0.00140398251269416,0.187881047397062,-1.24520791403783
"16","20230605_g1_41_O2",77.839983706935,0.00189628430608965,28.6000333333333,19.7038925,0.6466255264,20230605,"A",0,"69",41,0.00122618583762928,"20230605_g1_blank_O2",-4.09573462727853e-05,0.00126714318390206,0.23151341604444,-1.10408699945284
"17","20230605_g1_48_O2",74.0142889862331,0.00101551969670873,28.8799,11.2200835,0.6470847743,20230605,"H",1,"69",48,0.000657127333741973,"20230605_g1_blank4_O2",-7.95243471515909e-05,0.000736651680893564,0.236357069108873,-1.08958197760971
"18","20230605_g1_51_O2",74.6406604306789,0.000906737241512176,28.4283166666667,8.4441665,0.6474588985,20230605,"H",0,"69",51,0.000587075095618402,"20230605_g1_blank3_O2",-0.000115387717774983,0.000702462813393385,0.299480846122135,-0.917589459550633
"19","20230605_g1_53_O2",75.5085441083491,0.000197236145849271,28.3925833333333,8.235592,0.647481493,20230605,"A",0,"69",53,0.000127706754188052,"20230605_g1_blank3_O2",-0.000115387717774983,0.000243094471963035,0.106263168338952,-1.57860240931356
"20","20230605_g1_56_O2",60.6610932144875,0.000975990207771007,28.3824666666667,14.5612005,0.6471567617,20230605,"H",1,"65",56,0.000631618662311995,"20230605_g1_blank3_O2",-0.000115387717774983,0.000747006380086978,0.18468415212833,-1.25637495140968
"21","20230605_g1_58_O2",72.2850302912508,0.000788319962519058,28.4306833333333,9.7158665,0.6477652389,20230605,"H",0,"65",58,0.000510646268850797,"20230605_g1_blank3_O2",-0.000115387717774983,0.00062603398662578,0.231963083462788,-1.1027315106374
"22","20230605_g1_6_O2",62.3311510469042,0.00104721662498784,28.4298,17.9765,0.6467153793,20230605,"A",1,"68",6,0.000677251096838277,"20230605_g1_blank3_O2",-0.000115387717774983,0.00079263881461326,0.158735000284134,-1.35195090599927
"23","20230605_g1_60_O2",79.5979125191885,0.000821542843403779,28.97925,18.8185695,0.6471861872,20230605,"H",0,"65",60,0.000531691180443938,"20230605_g1_blank4_O2",-7.95243471515909e-05,0.000611215527595529,0.116925779047334,-1.52820001598791
"24","20230605_g1_62_O2",78.7974499402271,0.000591601912731643,28.94625,8.441105,0.6475587349,20230605,"A",2,"65",62,0.000383096986172923,"20230605_g1_blank4_O2",-7.95243471515909e-05,0.000462621333324514,0.197300803623252,-1.21301084590992
"25","20230605_g1_64_O2",80.3056114331506,0.000185644922873656,28.6209833333333,7.920336,0.6476228405,20230605,"A",0,"65",64,0.000120227892275841,"20230605_g1_blank_O2",-4.09573462727853e-05,0.000161185238548626,0.0732629093986736,-1.75294513056443
"26","20230605_g1_66_O2",67.1941187434442,-0.000630590237274981,29.10655,23.819726,0.6468294031,20230605,"H",2,"65",66,-0.000407884306777263,"20230605_g1_blank4_O2",-7.95243471515909e-05,-0.000328359959625673,0.0496267612252308,-1.89961134424442
"27","20230605_g1_7_O2",78.6541137262415,0.00102298563644251,28.6460833333333,24.701438,0.6458751764,20230605,"H",2,"68",7,0.000660721028391972,"20230605_g1_blank_O2",-4.09573462727853e-05,0.000701678374664758,0.102262959297881,-1.59818664945782
"28","20230605_g1_72_O2",80.2234512278792,0.000271203782873444,28.6265,13.6717955,0.6472865491,20230605,"H",1,"65",72,0.000175546560719017,"20230605_g1_blank2_O2",4.95827189282108e-05,0.000125963841790806,0.0331682718957362,-2.01614174823069
"29","20230605_g1_75_O2",78.8142995814387,0.00215072707409586,28.4252166666667,20.1866675,0.6466271028,20230605,"A",1,"67",75,0.00139071841683613,"20230605_g1_blank2_O2",4.95827189282108e-05,0.00134113569790792,0.23917214232951,-1.08124750600335
"30","20230605_g1_76_O2",76.5710973533968,0.00147043886724618,28.4520833333333,13.954945,0.6466701901,20230605,"H",2,"67",76,0.000950888981812516,"20230605_g1_blank_O2",-4.09573462727853e-05,0.000991846328085301,0.255869641987631,-1.03319078938029
"31","20230605_g1_79_O2",65.3674319744879,0.00160505361899513,28.3046166666667,15.9606985,0.6472466145,20230605,"H",2,"67",79,0.00103886552098557,"20230605_g1_blank3_O2",-0.000115387717774983,0.00115425323876055,0.260346479168064,-1.02068926824895
"32","20230605_g1_81_O2",75.6528218116308,0.000673777853968135,28.1289666666667,10.2396185,0.6468146903,20230605,"H",0,"67",81,0.000435809413945398,"20230605_g1_blank2_O2",4.95827189282108e-05,0.000386226695017187,0.135787881361193,-1.44482268591801
"33","20230605_g1_83_O2",75.8406086315262,0.00139601122405278,29.13415,11.238845,0.6471042162,20230605,"A",0,"67",83,0.000903364748947077,"20230605_g1_blank4_O2",-7.95243471515909e-05,0.000982889096098668,0.314836688819465,-0.879870357118065
"34","20230605_g1_91_O2",67.8940168142267,0.00028573903771823,28.5013333333333,14.1465635,0.6466791229,20230605,"A",1,"66",91,0.000184781470289915,"20230605_g1_blank3_O2",-0.000115387717774983,0.000300169188064898,0.0763866840900005,-1.73507662527687
"35","20230605_g1_93_O2",76.6230613176008,0.000741524090462155,28.3065166666667,18.8337985,0.6467117011,20230605,"H",2,"66",93,0.000479552305949411,"20230605_g1_blank2_O2",4.95827189282108e-05,0.0004299695870212,0.0821868468687461,-1.70272248738374
"36","20230605_g1_96_O2",76.2165669292891,0.00113891584650734,29.0552333333333,16.3761205,0.6465987282,20230605,"H",1,"66",96,0.000736421537878472,"20230605_g1_blank4_O2",-7.95243471515909e-05,0.000815945885030063,0.179371248893059,-1.27521374048544
"37","20230606_g2_1_O2",69.9603590008996,-0.000156192937590537,29.8249,22.4680345,0.6460851762,20230606,"A",0,"68",1,-0.000100913941604378,"20230606_g2_blank_O2",5.00105390145945e-05,-0.000150924480618972,0.0241822723847206,-2.08600485409282
"38","20230606_g2_10_O2",74.3260880150386,0.0022346591930057,28.1728166666667,19.3291335,0.6467345869,20230606,"H",1,"68",10,0.00144523139005083,"20230606_g2_blank4_O2",-0.000157962235989262,0.00160319362604009,0.298590573330373,-0.919820520930227
"39","20230606_g2_100_O2",68.1238581367766,0.000702434541918768,28.3889333333333,13.6195145,0.647207744,20230606,"H",1,"66",100,0.000454621075182919,"20230606_g2_blank3_O2",-0.000163597711692413,0.000618218786875332,0.163411671741397,-1.33403717880429
"40","20230606_g2_11_O2",71.7468750968121,0.000946800141813545,29.3983166666667,15.9021375,0.6469449372,20230606,"A",0,"68",11,0.000612527558286515,"20230606_g2_blank2_O2",-0.000300242425158538,0.000912769983445053,0.20663712286491,-1.182090240732
"41","20230606_g2_13_O2",67.8905102399058,8.7060105210152e-05,29.5728,11.47984,0.6473110831,20230606,"H",2,"68",13,5.63549709983835e-05,"20230606_g2_blank2_O2",-0.000300242425158538,0.000356597396156921,0.111826525993822,-1.55198761289277
"42","20230606_g2_14_O2",74.8941190144352,0.000991488302638084,28.3187333333333,12.110666,0.6466821305,20230606,"H",2,"68",14,0.000641177767915825,"20230606_g2_blank3_O2",-0.000163597711692413,0.000804775479608238,0.239226457619231,-1.08108737804954
"43","20230606_g2_16_O2",71.8114235187602,0.00218277062767315,28.2308,25.3558925,0.6462724457,20230606,"A",2,"68",16,0.00141066451194845,"20230606_g2_blank4_O2",-0.000157962235989262,0.00156862674793771,0.222711793425365,-1.13099563449544
"44","20230606_g2_17_O2",79.4170267271559,0.000612546174625848,29.6637666666667,9.556904,0.6474385523,20230606,"A",1,"68",17,0.000396586008516662,"20230606_g2_blank_O2",5.00105390145945e-05,0.000346575469502067,0.1305518701671,-1.46727940859871
"45","20230606_g2_19_O2",72.0008615027601,-0.00024966421715129,29.6107333333333,9.6147585,0.6474180943,20230606,"A",0,"70",19,-0.00016163713168299,"20230606_g2_blank2_O2",-0.000300242425158538,0.000138605293475548,0.0518972012153995,-1.88455129472857
"46","20230606_g2_22_O2",77.3916109478716,0.000329422595341182,29.7483166666667,10.36043,0.6471941053,20230606,"A",1,"70",22,0.00021320036185744,"20230606_g2_blank_O2",5.00105390145945e-05,0.000163189822842846,0.0567045346799549,-1.85339319143036
"47","20230606_g2_26_O2",70.6270913237013,-9.95224434242295e-05,29.392,8.60668976,0.6473079357,20230606,"A",1,"70",26,-6.4421667408758e-05,"20230606_g2_blank2_O2",-0.000300242425158538,0.00023582075774978,0.0986389368703359,-1.61626648983876
"48","20230606_g2_28_O2",72.1306819234868,0.00083952076033217,28.41505,11.339482,0.6470755537,20230606,"H",0,"70",28,0.000543233360834584,"20230606_g2_blank3_O2",-0.000163597711692413,0.000706831072526997,0.224401067094351,-1.12577466730624
"49","20230606_g2_30_O2",71.183363601796,0.00032313196545685,28.3121166666667,12.4358915,0.6466459355,20230606,"H",1,"70",30,0.000208951972092798,"20230606_g2_blank4_O2",-0.000157962235989262,0.000366914208082061,0.1062160400077,-1.57883092183251
"50","20230606_g2_32_O2",78.6350680573664,0.000349923714943522,29.6939333333333,17.049415,0.6468662526,20230606,"H",0,"70",32,0.000226353842181387,"20230606_g2_blank_O2",5.00105390145945e-05,0.000176343303166792,0.0372350541881028,-1.98606009932632
"51","20230606_g2_35_O2",72.3556151214292,0.00024253620787488,28.0791333333333,7.872922,0.647660443,20230606,"H",1,"70",35,0.000157081107835785,"20230606_g2_blank4_O2",-0.000157962235989262,0.000315043343825047,0.14405782729337,-1.41035008466434
"52","20230606_g2_37_O2",72.6678551101741,0.00103829047500161,28.3183,11.468536,0.6468221892,20230606,"A",0,"69",37,0.000671589318066049,"20230606_g2_blank4_O2",-0.000157962235989262,0.000829551554055311,0.260398153225409,-1.02054587749691
"53","20230606_g2_42_O2",73.1999659851428,0.000955089420686744,29.4058333333333,14.538043,0.6467896662,20230606,"A",2,"69",42,0.000617741967597131,"20230606_g2_blank2_O2",-0.000300242425158538,0.000917984392755668,0.227316965145887,-1.11682626519202
"54","20230606_g2_43_O2",73.3472072100699,0.00267051419130705,28.44785,21.7254245,0.6463757849,20230606,"H",2,"69",43,0.00172615570649268,"20230606_g2_blank3_O2",-0.000163597711692413,0.0018897534181851,0.313140592740379,-0.883967325692677
"55","20230606_g2_45_O2",69.051591244013,0.00244021238412038,28.4156833333333,16.9874785,0.6464759767,20230606,"H",2,"69",45,0.00157753868437966,"20230606_g2_blank3_O2",-0.000163597711692413,0.00174113639607207,0.368983014510332,-0.757188727587567
