"","file.names.full","Intercept","umol.L.sec","Temp.C","genotype","coral_num","wound","temp","date","chamber_vol","surf.area.cm2","umol.sec","blank_id","blank.umol.sec","umol.sec.corr","umol.cm2.hr","Rate.ln"
"1","20230701_F_A_103_O2",86.2242361305914,0.00218828942705036,27.5802,66,103,0,"A",20230701,0.646675408677049,13.2066045,0.00141511295954146,"20230701_F_A_blank2_O2",0.000158337724798833,0.00125677523474262,0.342585472675694,-0.815121674597732
"2","20230701_F_A_104_O2",86.7430434544383,0.00408331365472672,27.3682833333333,66,104,2,"A",20230701,0.645709091475914,23.2759611983208,0.00263663275020478,"20230701_F_A_blank_O2",0.000157306969900619,0.00247932578030417,0.3834674208745,-0.726771348211168
"3","20230701_F_A_106_O2",89.3778391249672,0.00199806223586711,27.4052666666667,66,106,1,"A",20230701,0.646439581264867,18.5364405,0.00129162651509508,"20230701_F_A_blank_O2",0.000157306969900619,0.00113431954519446,0.220298517544404,-1.13850185071241
"4","20230701_F_A_15_O2",91.7808481467524,0.00165616554597993,27.3343666666667,68,15,0,"A",20230701,0.647119349858739,10.8588265,0.00107173677137298,"20230701_F_A_blank_O2",0.000157306969900619,0.000914429801472357,0.303158659483185,-0.908425098525333
"5","20230701_F_A_19_O2",91.2316135373858,0.00127253871790152,27.4536333333333,70,19,0,"A",20230701,0.647274127938574,9.6147585,0.000823681388897777,"20230701_F_A_blank2_O2",0.000158337724798833,0.000665343664098945,0.249120889594492,-1.05233702823547
"6","20230701_F_A_25_O2",83.6225235874,0.00107680974429338,27.4746,70,25,2,"A",20230701,0.646665996496518,11.8925191983208,0.000696336246330639,"20230701_F_A_blank_O2",0.000157306969900619,0.00053902927643002,0.163170255417546,-1.33495409724875
"7","20230701_F_A_26_O2",86.2696747316405,0.00119790148613384,27.5227166666667,70,26,1,"A",20230701,0.647326417830411,7.2334924,0.000775433277932744,"20230701_F_A_blank_O2",0.000157306969900619,0.000618126308032125,0.307632134778444,-0.897390141736183
"8","20230701_F_A_41_O2",82.8631832476491,0.00210380109100444,27.5006333333333,69,41,0,"A",20230701,0.646331864087684,19.7038925,0.0013597536808186,"20230701_F_A_blank2_O2",0.000158337724798833,0.00120141595601977,0.21950472180414,-1.14098322654405
"9","20230701_F_A_49_O2",86.8353405310018,0.00143247351188957,27.5657333333333,69,49,2,"A",20230701,0.64673554205266,14.0411426983208,0.000926431533187978,"20230701_F_A_blank2_O2",0.000158337724798833,0.000768093808389146,0.196931102376135,-1.21425514562215
"10","20230701_F_A_5_O2",86.8666507915652,0.00264205216675999,27.5285,68,5,0,"A",20230701,0.644499626277741,36.804254,0.00170280163408311,"20230701_F_A_blank2_O2",0.000158337724798833,0.00154446390928428,0.151071397165757,-1.38201792943924
"11","20230701_F_A_52_O2",84.1410462740277,0.00125045482487341,27.4284,69,52,1,"A",20230701,0.64766525632951,6.279843,0.00080987614468011,"20230701_F_A_blank2_O2",0.000158337724798833,0.000651538419881277,0.373502699282864,-0.747597665669268
"12","20230701_F_A_57_O2",86.5657146080371,0.002800520263662,27.5018166666667,65,57,0,"A",20230701,0.646995945714005,15.113762,0.00181192525647923,"20230701_F_A_blank2_O2",0.000158337724798833,0.0016535875316804,0.393873816065744,-0.705475227488092
"13","20230701_F_A_59_O2",87.8940644073406,0.00133205662832181,27.52085,65,59,2,"A",20230701,0.647070720259331,15.8629706983208,0.00086193484191441,"20230701_F_A_blank2_O2",0.000158337724798833,0.000703597117115577,0.159676877035662,-1.34831720149095
"14","20230701_F_A_69_O2",89.0940531583886,0.000928015019697014,27.4163833333333,65,69,1,"A",20230701,0.647472306628634,7.841208,0.000600864025389243,"20230701_F_A_blank_O2",0.000157306969900619,0.000443557055488624,0.203642780520431,-1.19190333258255
"15","20230701_F_A_85_O2",84.870928075272,0.00157604498142409,27.5264166666667,67,85,1,"A",20230701,0.646500760438316,10.184747,0.00101891427897567,"20230701_F_A_blank2_O2",0.000158337724798833,0.000860576554176833,0.30418778149684,-0.905875703324441
"16","20230701_F_A_87_O2",87.411895996461,0.00114712129719426,27.43195,67,87,2,"A",20230701,0.647526688116144,7.74866119832077,0.000742791654439694,"20230701_F_A_blank_O2",0.000157306969900619,0.000585484684539075,0.272014069320445,-0.988823604670292
"17","20230701_F_A_9_O2",87.1081784247257,0.00129250309959565,27.5820166666667,68,9,2,"A",20230701,0.646805087608803,14.9899721983208,0.000835997580568614,"20230701_F_A_blank_O2",0.000157306969900619,0.000678690610667995,0.162994711803301,-1.33562135421831
"18","20230701_F_A_90_O2",83.5909625781648,0.00180520784683777,27.3706833333333,67,90,0,"A",20230701,0.647014770075066,8.590883,0.00116799613995944,"20230701_F_A_blank_O2",0.000157306969900619,0.00101068917005883,0.423528176581124,-0.647164426660332
"19","20230701_F_H_18_O2",87.5656084633494,0.00115509234552403,30.35645,68,18,0,"H",20230701,0.646686739555992,14.7492865,0.000746982902813018,"20230701_F_H_blank_O2",-6.22356591410223e-05,0.000809218561954041,0.19751374570116,-1.21229485102631
"20","20230701_F_H_23_O2",85.9758240614214,0.00173392964421592,30.2728166666667,70,23,1,"H",20230701,0.647410553107077,8.8449561,0.00112256435001059,"20230701_F_H_blank_O2",-6.22356591410223e-05,0.00118480000915161,0.482227383010504,-0.540894215093215
