"","file.names.full","Intercept","umol.L.sec","Temp.C","genotype","coral_num","wound","temp","date","chamber_vol","surf.area.cm2","umol.sec","blank_id","blank.umol.sec","umol.sec.corr","umol.cm2.hr","Rate.ln"
"1","20230701_F_A_103_O2",88.562132618759,-0.0021456735440323,27.8921147540984,"66",103,0,"A",20230701,0.646675408677049,13.2066045,-0.00138755431597462,"20230701_F_A_blank2_O2",9.57459248167195e-05,-0.00148330024079134,0.404334124403348,-0.684516285317156
"2","20230701_F_A_104_O2",90.752169270631,-0.00297356807876669,27.6583548387097,"66",104,2,"A",20230701,0.645709091475914,23.2759611983208,-0.00192005994258222,"20230701_F_A_blank_O2",8.78992461519998e-05,-0.00200795918873422,0.310563031870181,-0.890225812863259
"3","20230701_F_A_106_O2",91.5141535200155,-0.00208975943583898,27.6532096774194,"66",106,1,"A",20230701,0.646439581264867,18.5364405,-0.00135090321464805,"20230701_F_A_blank_O2",8.78992461519998e-05,-0.00143880246080005,0.279432766980273,-0.96907785994883
"4","20230701_F_A_15_O2",93.4784702178117,-0.00143320781941476,27.5980322580645,"68",15,0,"A",20230701,0.647119349858739,10.8588265,-0.000927456512312141,"20230701_F_A_blank_O2",8.78992461519998e-05,-0.00101535575846414,0.336618393384488,-0.828695707067268
"5","20230701_F_A_19_O2",92.6531785010474,-0.00135994190978868,27.767393442623,"70",19,0,"A",20230701,0.647274127938574,9.6147585,-0.000880255213705587,"20230701_F_A_blank2_O2",9.57459248167195e-05,-0.000976001138522306,0.365438622164072,-0.764775044526512
"6","20230701_F_A_25_O2",84.7417248659136,-0.00153760127810115,27.6524193548387,"70",25,2,"A",20230701,0.646665996496518,11.8925191983208,-0.0009943144627176,"20230701_F_A_blank_O2",8.78992461519998e-05,-0.0010822137088696,0.327598323531037,-0.849571020486647
"7","20230701_F_A_26_O2",87.4687658371504,-0.000808643076740888,27.7062741935484,"70",26,1,"A",20230701,0.647326417830411,7.2334924,-0.000523456026170041,"20230701_F_A_blank_O2",8.78992461519998e-05,-0.000611355272322041,0.304262292493643,-0.905691372839698
"8","20230701_F_A_41_O2",85.3256691770797,-0.00294998311381286,27.7757868852459,"69",41,0,"A",20230701,0.646331864087684,19.7038925,-0.00190666808497786,"20230701_F_A_blank2_O2",9.57459248167195e-05,-0.00200241400979458,0.365851084259644,-0.763889257601787
"9","20230701_F_A_49_O2",88.4580589863173,-0.00241481602139843,27.8479344262295,"69",49,2,"A",20230701,0.64673554205266,14.0411426983208,-0.00156174734855656,"20230701_F_A_blank2_O2",9.57459248167195e-05,-0.00165749327337328,0.424963687952365,-0.644426184587597
"10","20230701_F_A_5_O2",89.9691518212784,-0.00494070336479395,27.8323278688525,"68",5,0,"A",20230701,0.644499626277741,36.804254,-0.00318428147215888,"20230701_F_A_blank2_O2",9.57459248167195e-05,-0.0032800273969756,0.320835157509568,-0.865514071833925
"11","20230701_F_A_52_O2",85.5015375241727,-0.000999585985021566,27.7011475409836,"69",52,1,"A",20230701,0.64766525632951,6.279843,-0.000647397113212378,"20230701_F_A_blank2_O2",9.57459248167195e-05,-0.000743143038029098,0.426016213606734,-0.642423242372085
"12","20230701_F_A_57_O2",89.5692612886237,-0.0029822867857776,27.8125901639344,"65",57,0,"A",20230701,0.646995945714005,15.113762,-0.00192952745935456,"20230701_F_A_blank2_O2",9.57459248167195e-05,-0.00202527338417128,0.482406973393957,-0.540585808624027
"13","20230701_F_A_59_O2",89.526882497477,-0.00320319838267834,27.8364426229508,"65",59,2,"A",20230701,0.647070720259331,15.8629706983208,-0.0020726958846132,"20230701_F_A_blank2_O2",9.57459248167195e-05,-0.00216844180942992,0.49211403478001,-0.524056036330614
"14","20230701_F_A_69_O2",90.1112536152364,-0.00168233286274121,27.6776290322581,"65",69,1,"A",20230701,0.647472306628634,7.841208,-0.0010892639391562,"20230701_F_A_blank_O2",8.78992461519998e-05,-0.0011771631853082,0.540450842154619,-0.445582909763833
"15","20230701_F_A_85_O2",86.6099437793004,-0.00223659740908207,27.7887868852459,"67",85,1,"A",20230701,0.646500760438316,10.184747,-0.00144596192576593,"20230701_F_A_blank2_O2",9.57459248167195e-05,-0.00154170785058265,0.544947092166111,-0.438586993200257
"16","20230701_F_A_87_O2",88.5878377599897,-0.00135143853939067,27.7091451612903,"67",87,2,"A",20230701,0.647526688116144,7.74866119832077,-0.00087509252160416,"20230701_F_A_blank_O2",8.78992461519998e-05,-0.000962991767756159,0.4474024964046,-0.602570921909888
"17","20230701_F_A_9_O2",88.4063421914755,-0.00194439797901279,27.7567419354839,"68",9,2,"A",20230701,0.646805087608803,14.9899721983208,-0.00125764650516175,"20230701_F_A_blank_O2",8.78992461519998e-05,-0.00134554575131375,0.323147010590995,-0.860035617546547
"18","20230701_F_A_90_O2",85.4035257506894,-0.0015947061868593,27.5391935483871,"67",90,0,"A",20230701,0.647014770075066,8.590883,-0.00103179845682806,"20230701_F_A_blank_O2",8.78992461519998e-05,-0.00111969770298006,0.469208081489202,-0.563509214889012
