"","coral_num","umol.cm2.hr","Rate","genotype","wound","temp","date","chamber_vol","SA","file.names.full","wound_status"
"1","103",0.270996313005149,"Respiration",66,"0","A",20230701,646.675408677049,19.7046255265744,"20230701_F_A_103_O2","no wound"
"2","104",0.209037845609619,"Respiration",66,"2","A",20230701,645.709091475914,34.5805950035612,"20230701_F_A_104_O2","wounded"
"3","106",0.245875355089337,"Respiration",66,"1","A",20230701,646.439581264867,21.0663197903596,"20230701_F_A_106_O2","wounded"
"4","15",0.218946619286515,"Respiration",68,"0","A",20230701,647.119349858739,16.6948489197158,"20230701_F_A_15_O2","no wound"
"5","19",0.258687922175775,"Respiration",70,"0","A",20230701,647.274127938574,13.5824048882068,"20230701_F_A_19_O2","no wound"
"6","25",0.21615307394068,"Respiration",70,"2","A",20230701,646.665996496518,18.0241218915062,"20230701_F_A_25_O2","wounded"
"7","26",0.175402032213915,"Respiration",70,"1","A",20230701,647.326417830411,12.5476253187034,"20230701_F_A_26_O2","wounded"
"8","41",0.246246295220276,"Respiration",69,"0","A",20230701,646.331864087684,29.2743102137316,"20230701_F_A_41_O2","no wound"
"9","49",0.244355690295449,"Respiration",69,"2","A",20230701,646.73554205266,24.4192217374974,"20230701_F_A_49_O2","wounded"
"10","5",0.217608574078898,"Respiration",68,"0","A",20230701,644.499626277741,54.2630210187899,"20230701_F_A_5_O2","no wound"
"11","52",0.254145688134555,"Respiration",69,"1","A",20230701,647.66525632951,10.5266981176888,"20230701_F_A_52_O2","wounded"
"12","57",0.270475344189922,"Respiration",65,"0","A",20230701,646.995945714005,26.9561878360973,"20230701_F_A_57_O2","no wound"
"13","59",0.306361001439093,"Respiration",65,"2","A",20230701,647.070720259331,25.48101905033,"20230701_F_A_59_O2","wounded"
"14","69",0.348543252345633,"Respiration",65,"1","A",20230701,647.472306628634,12.1585698147647,"20230701_F_A_69_O2","wounded"
"15","85",0.272802309243675,"Respiration",67,"1","A",20230701,646.500760438316,20.3449460434734,"20230701_F_A_85_O2","wounded"
"16","87",0.232192451794085,"Respiration",67,"2","A",20230701,647.526688116144,14.9305902803275,"20230701_F_A_87_O2","wounded"
"17","9",0.209370247809389,"Respiration",68,"2","A",20230701,646.805087608803,23.1358789293665,"20230701_F_A_9_O2","wounded"
"18","90",0.212612763236158,"Respiration",67,"0","A",20230701,647.014770075066,18.9589358106921,"20230701_F_A_90_O2","no wound"
"19","18",0.27589384288881,"Respiration",68,"0","H",20230701,646.686739555992,23.4952149156432,"20230701_F_H_18_O2","no wound"
"20","23",0.276523239581735,"Respiration",70,"1","H",20230701,647.410553107077,14.5145170330597,"20230701_F_H_23_O2","wounded"
"21","24",0.226979746064667,"Respiration",70,"2","H",20230701,647.237297087639,17.3189587906174,"20230701_F_H_24_O2","wounded"
"22","3",0.265387008575902,"Respiration",68,"1","H",20230701,646.445120468643,28.331390971547,"20230701_F_H_3_O2","wounded"
"23","32",0.191203690177127,"Respiration",70,"0","H",20230701,646.129919758582,25.8268461649421,"20230701_F_H_32_O2","no wound"
"24","43",0.248785829414283,"Respiration",69,"2","H",20230701,646.01511155293,33.5917455977173,"20230701_F_H_43_O2","wounded"
"25","46",0.25592232923621,"Respiration",69,"1","H",20230701,647.035339016788,15.7708420978616,"20230701_F_H_46_O2","wounded"
