"","rate","coral_num","temp","wound","genotype","timepoint","drymass","SA","umol.hr","umol.cm2.hr"
"1","Gross Photosynthesis","75","A","1",67,"day0",9.88258878981163,20.1866675,14.1665883435819,0.701779446438195
"2","Gross Photosynthesis","79","H","2",67,"day0",8.06741942025439,15.9606985,9.97170850490711,0.624766422654191
"3","Gross Photosynthesis","76","H","2",67,"day0",9.7563429133878,13.954945,10.2153814869319,0.732025922490696
"4","Gross Photosynthesis","18","H","0",68,"day0",9.2236468982336,14.7492865,7.67497128368152,0.520362207601129
"5","Gross Photosynthesis","81","H","0",67,"day0",9.33295735221033,10.2396185,7.18039027368772,0.701236112818824
"6","Gross Photosynthesis","53","A","0",69,"day0",7.37922543535865,8.235592,4.85145616196813,0.589084083083297
"7","Gross Photosynthesis","2","H","1",68,"day0",12.3028146158879,28.3475275,22.8514573481822,0.806118182553388
"8","Gross Photosynthesis","83","A","0",67,"day0",8.48464664599656,11.238845,8.41803932497367,0.749012850072554
"9","Gross Photosynthesis","56","H","1",65,"day0",8.33068826011384,14.5612005,11.3822391440549,0.781682742714443
"10","Gross Photosynthesis","21","A","0",70,"day0",7.59630675945328,10.917466,4.91333721601119,0.45004373872208
"11","Gross Photosynthesis","91","A","1",66,"day0",9.73016998778774,14.1465635,6.28631044974871,0.444370143303617
"12","Gross Photosynthesis","58","H","0",65,"day0",6.54785015159197,9.7158665,5.79736055808028,0.596690018134798
"13","Gross Photosynthesis","23","H","1",70,"day0",7.43465045427642,9.88459126,4.80396265409509,0.48600519007147
"14","Gross Photosynthesis","93","H","2",66,"day0",9.63471578854046,18.8337985,7.82273727261538,0.415356321913255
"15","Gross Photosynthesis","6","A","1",68,"day0",9.62393870152867,17.9765,9.80258021639827,0.545299708864254
"16","Gross Photosynthesis","25","A","2",70,"day0",9.3822240356928,12.285564,5.05267126030705,0.411268970664029
"17","Gross Photosynthesis","96","H","1",66,"day0",9.9657263181883,16.3761205,9.00912269616069,0.550137787283667
"18","Gross Photosynthesis","60","H","0",65,"day0",8.24447156401952,18.8185695,10.4845219354736,0.557137030818075
"19","Gross Photosynthesis","27","A","2",70,"day0",9.70553664604651,16.5012495,5.39911187453834,0.327194123968511
"20","Gross Photosynthesis","1","A","0",68,"day0",11.4704336006392,22.4680345,9.14186017586446,0.406882950792356
"21","Gross Photosynthesis","62","A","2",65,"day0",7.15290660811105,8.441105,6.2792657230903,0.743891436380699
"22","Gross Photosynthesis","3","H","1",68,"day0",9.92877630557645,18.5524545,14.5677057211333,0.785217164722504
"23","Gross Photosynthesis","10","H","1",68,"day0",9.56766034623862,19.3291335,12.8167778376846,0.663080827585189
"24","Gross Photosynthesis","64","A","0",65,"day0",6.96507737733414,7.920336,5.49846220147974,0.694220826171988
"25","Gross Photosynthesis","33","H","2",70,"day0",7.67174636853581,10.0424265,6.27682472611167,0.625030686170486
"26","Gross Photosynthesis","100","H","1",66,"day0",8.18131020450252,13.6195145,7.52217255861057,0.552308421758395
"27","Gross Photosynthesis","66","H","2",65,"day0",9.28984900416317,23.819726,12.3161651145854,0.517057379861776
"28","Gross Photosynthesis","38","A","1",69,"day0",8.05048399780729,9.561771,5.47771669503918,0.572876791866191
"29","Gross Photosynthesis","13","H","2",68,"day0",7.878526415232,11.47984,6.58467988870312,0.573586381752979
"30","Gross Photosynthesis","7","H","2",68,"day0",12.0857332917933,24.701438,16.5897565592935,0.671610962863519
"31","Gross Photosynthesis","4","A","2",68,"day0",11.5484185250626,22.0411515,13.8349798580058,0.62768861499844
"32","Gross Photosynthesis","14","H","2",68,"day0",9.72135770119828,12.110666,8.20597344470965,0.677582343094067
"33","Gross Photosynthesis","72","H","1",65,"day0",7.95041104698353,13.6717955,7.45912157553975,0.545584636307627
"34","Gross Photosynthesis","40","H","0",69,"day0",12.5922563813475,26.901793,16.6302585348628,0.618184019736631
"35","Gross Photosynthesis","16","A","2",68,"day0",10.9217340434332,25.3558925,15.312370662984,0.603897916943133
"36","Gross Photosynthesis","102","A","2",66,"day0",7.48391713775889,10.2779265,5.77413467995724,0.56179956919883
"37","Gross Photosynthesis","41","A","0",69,"day0",9.88720754138811,19.7038925,12.5174876937317,0.635279942464755
"38","Gross Photosynthesis","19","A","0",70,"day0",7.5649838111143,9.6147585,3.26849034767822,0.339945132025752
"39","Gross Photosynthesis","103","A","0",66,"day0",8.99424890326835,13.2066045,7.29884957149322,0.552666627632653
"40","Gross Photosynthesis","48","H","1",69,"day0",8.54161124877316,11.2200835,7.41016132021192,0.66043727038323
"41","Gross Photosynthesis","22","A","1",70,"day0",8.22127151679203,10.36043,5.33940495004315,0.51536518754947
"42","Gross Photosynthesis","105","A","1",66,"day0",11.4437268226624,25.0701525,12.1466464251583,0.484506283923017
"43","Gross Photosynthesis","51","H","0",69,"day0",7.44542754128821,8.4441665,6.28355664621596,0.744129884958564
"44","Gross Photosynthesis","26","A","1",70,"day0",7.88774825652957,8.60668976,3.187073493474,0.370301891011115
"45","Gross Photosynthesis","83","A","0",67,"day10",8.92606852238842,11.238845,7.01604793282123,0.62426770124699
"46","Gross Photosynthesis","89","H","0",67,"day1",8.56009173234595,10.0967485,9.18306705780376,0.909507358512868
"47","Gross Photosynthesis","28","H","0",70,"day0",8.56862753900085,11.339482,6.39929960603644,0.564337912969609
"48","Gross Photosynthesis","88","A","1",67,"day10",8.52424207000599,6.9854795,5.20477923459905,0.745085464011318
"49","Gross Photosynthesis","94","H","2",66,"day1",11.1122928394051,12.8201536983208,6.9049588961223,0.538601880960814
"50","Gross Photosynthesis","30","H","1",70,"day0",9.82740887612044,12.4358915,6.07197168309224,0.488261873553033
"51","Gross Photosynthesis","10","H","1",68,"day10",9.98431375957881,18.5601475,12.8762282799224,0.693756786142048
"52","Gross Photosynthesis","96","H","1",66,"day1",10.1688542603959,15.2297065,11.0496564185937,0.725533116386303
"53","Gross Photosynthesis","32","H","0",70,"day0",9.18187998528989,17.049415,5.12897325109036,0.300829867247079
"54","Gross Photosynthesis","100","H","1",66,"day10",8.55338215624747,12.7046755,8.62753071942224,0.679083123329064
"55","Gross Photosynthesis","99","H","0",66,"day1",9.00876284809627,16.5598105,8.31846480909289,0.502328502436238
"56","Gross Photosynthesis","35","H","1",70,"day0",6.85490203120068,7.872922,3.1876214933318,0.404884170493725
"57","Gross Photosynthesis","13","H","2",68,"day10",8.02119216015317,11.0867951983208,6.76441144618391,0.61013226321782
"58","Gross Photosynthesis","1","A","0",68,"day1",11.809538724192,22.4680345,11.4644772375066,0.510257238456108
"59","Gross Photosynthesis","42","A","2",69,"day0",9.40627812353098,14.538043,9.81554331099456,0.675162627527966
"60","Gross Photosynthesis","30","H","1",70,"day10",9.36163612726099,11.4202585,6.95921230693705,0.609374324314729
"61","Gross Photosynthesis","102","A","2",66,"day1",7.73421059191392,9.88488169832077,6.24059925910617,0.631327662744443
"62","Gross Photosynthesis","43","H","2",69,"day0",10.6189502541627,21.7254245,15.6303992126571,0.719451958817056
"63","Gross Photosynthesis","31","H","2",70,"day10",9.88462399085797,11.6072501983208,9.9197213915137,0.854614247304568
"64","Gross Photosynthesis","105","A","1",66,"day1",11.6804559326719,24.099971,17.1975731777156,0.713593106718493
"65","Gross Photosynthesis","45","H","2",69,"day0",10.3253883061897,16.9874785,13.054470783558,0.768476073924565
"66","Gross Photosynthesis","36","H","0",70,"day10",9.60089157219099,15.157251,6.21972949976028,0.410346803636113
"67","Gross Photosynthesis","107","A","0",66,"day1",6.99044784077417,7.4710805,4.59372517671542,0.614867578620713
"68","Gross Photosynthesis","47","H","0",69,"day0",8.03683469084044,13.235728,8.31723867519739,0.628392988674094
"69","Gross Photosynthesis","39","H","2",69,"day10",8.62853290497548,13.2121041983208,10.3940798743036,0.786708893472447
"70","Gross Photosynthesis","21","A","0",70,"day1",7.78184828878444,10.917466,3.99525405295616,0.365950675088538
