coral_id,prewax_weight_g,postwax_weight_g
93,11.0607,11.7852
40,15.6542,17.2411
41,12.3855,13.4103
29,11.1088,11.6818
66,12.3148,13.6251
39,10.1834,10.979
44,11.5666,12.7128
6,11.7334,12.7199
5,18.1224,20.0721
78,10.9626,11.6273
24,9.4732,10.0555
47,9.9721,10.6759
45,12.7724,13.8397
52,8.0748,8.4057
1,14.0423,15.2588
71,11.7357,12.8541
2,15.5726,17.3311
105,14.0947,15.3675
72,10.2117,10.9299
83,10.5063,11.1262
11,11.6105,12.4337
75,11.9459,12.9372
100,10.1003,10.7312
63,9.1819,9.8279
53,9.5191,9.9973
87,8.6595,9.1534
77,9.3982,10.0378
25,11.0553,11.6637
68,8.9907,9.5842
95,12.168,13.1295
4,14.7922,16.1134
82,9.5434,10.0139
38,9.7495,10.2957
57,10.239,11.178
59,10.0131,10.8975
67,10.8703,11.3678
31,10.9059,11.5163
33,9.3029,9.8911
36,11.2228,11.9945
101,9.2236,9.6664
80,11.9279,12.6121
32,12.9478,13.845
86,11.3598,12.0542
37,11.7866,12.5893
94,12.7595,13.3957
50,12.1442,13.0842
107,8.5439,8.8803
73,11.3039,12.1818
35,8.6837,8.9898
51,9.2725,9.8043
97,13.3782,14.4652
98,13.3755,14.3073
26,9.1355,9.5412
62,9.107,9.6078
12,13.011,14.236
34,10.0089,10.6189
65,10.6274,11.5745
108,10.0812,10.8365
99,10.6192,11.3718
23,9.1719,9.6504
84,11.7116,12.3155
58,8.473,8.839
48,10.3679,10.9671
10,11.5711,12.4429
8,8.9357,9.5199
90,10.1557,10.7987
61,8.641,9.1475
27,11.3211,12.0706
13,9.7843,10.4319
56,10.4819,11.202
85,11.6745,12.3688
3,12.4646,13.4545
42,11.8525,12.6749
54,8.927,9.3032
74,10.2141,10.8181
64,8.6186,9.1383
106,12.0757,12.7967
104,14.4201,15.6413
18,11.7482,12.5591
20,9.2,9.6384
91,11.7538,12.4253
21,9.5698,10.1031
46,10.0024,10.5274
103,11.1686,11.8392
89,10.2063,10.85
96,12.147,12.9153
81,11.545,12.212
19,9.394,9.838
102,9.5466,10.1395
92,9.467,9.8274
7,14.507,16.0378
9,10.7094,11.507
55,10.5799,11.3585
15,9.7422,10.3014
28,10.1549,10.7603
16,13.4927,14.9225
88,10.0539,10.4857
69,9.0511,9.4424
22,9.7809,10.3161
60,10.718,11.6417
30,11.421,12.1935
76,11.6395,12.3537
49,11.0196,11.8647
79,10.3775,11.147
43,13.3182,14.5028
70,9.7829,10.3786
14,11.5508,12.1235
