date,coral_id,branch_height_mm,diameter_base_mm,diameter_tip_mm,notes 
20230611,92,59,7.8,3.8,
20230611,93,54.1,7.1,4.3,
20230611,93,26.3,5.3,2.8,
20230611,93,38.7,6.1,3,
20230611,108,48,8.2,3.1,
20230611,108,14.6,4,2.3,
20230611,108,26.9,5.3,3,
20230611,108,12.3,3.3,2,
20230611,94,60,10,3.9,
20230611,106,51,9,2.8,
20230611,106,31.7,6.2,2.8,
20230611,106,21.9,5.4,3.2,
20230611,106,22.2,4,2.4,
20230611,98,61.9,9.1,3.1,
20230611,98,38.9,6.3,2.7,
20230611,98,20.2,7.5,2.2,
20230611,97,71.2,8.2,2.8,
20230611,97,37.4,6.3,2.4,
20230611,97,28.3,6,2.5,
20230611,97,11.7,3.2,2.4,
20230611,99,49.7,9,3.7,
20230611,99,36,5.9,2.9,
20230611,99,16.7,3.5,2.1,
20230611,95,55.7,6.8,2.8,
20230611,95,41.1,7.5,3,
20230611,95,24.1,4.5,3,
20230611,104,61.7,7.8,3,
20230611,104,55.2,6.1,2.5,
20230611,104,34.5,4.6,2.9,
20230611,104,16.9,4,1.6,
20230611,101,60.3,7.5,2.8,
20230611,101,8.7,2.4,1.9,
20230611,107,47.8,7.6,2.3,
20230611,96,57.2,8.2,2.5,
20230611,96,20.7,5.6,2.1,
20230611,96,20.8,6.4,2.5,
20230611,96,12.2,4,2.2,
20230611,100,51.8,6.4,2.5,
20230611,100,44,6.1,2.2,
20230611,100,8.2,2.6,1.6,
20230611,105,55.6,5.8,2.2,
20230611,105,54.3,7.9,2.5,
20230611,105,30.9,6.4,2.1,
20230611,105,27,5.3,2.1,
20230611,105,19.2,4.1,1.8,
20230611,102,56.2,7.7,1.8,
20230611,102,13.4,3.9,4.3,
20230611,103,58.4,7.8,2.2,
20230611,103,20.4,5,2.3,
20230611,103,12.7,4.1,1.7,
20230611,103,6.5,2.4,1.7,
20230611,91,64.7,8,1.7,
20230611,91,33.8,6.2,1.8,
20230611,82,61.9,8.3,1.9,
20230611,78,57.3,8.5,2.2,
20230611,78,9.6,4.5,2.2,
20230611,73,62,9.2,2.3,
20230611,73,17.6,4.5,2,
20230611,86,58.1,8.2,2.3,
20230611,86,19.4,6.7,2.1,
20230611,84,68.1,8.7,3.3,
20230611,89,60.5,8.7,1.9,
20230611,85,65.2,9.3,1.9,
20230611,80,57,9.6,1.9,
20230611,80,7.8,2.2,1.8,
20230611,90,61.3,7.1,1.8,
20230611,77,61.5,8.1,1.9,
20230611,77,6,2.3,1.7,
20230611,77,6,2.7,1.6,
20230611,76,66.5,10.7,2.2,
20230611,76,7,2.3,1.6,
20230611,87,56,6.6,2.6,
20230611,88,53.4,8,1.8,
20230611,74,56.5,8.9,3.1,
20230611,74,7,3.6,2.4,
20230611,74,10.1,2.5,2.2,
20230611,74,7.7,3.1,2,
20230611,74,6.4,2,1.8,
20230611,81,62.5,8.3,2.1,
20230611,79,59,8.2,1.8,
20230611,79,19,3.7,2,
20230611,79,14.6,4.9,1.6,
20230611,79,16.6,3.9,1.9,
20230611,79,19.1,4.2,2,
20230611,75,47.4,9.4,2.7,
20230611,75,40.3,7.7,6.9,
20230611,75,17.2,3.6,1.9,
20230611,83,58,9.1,1.9,
20230611,83,11.6,4.5,1.9,
20230611,5,74.4,9.9,2.3,
20230611,5,48.4,6.3,2.9,
