"","coral_id","genotype","treatment","wound","temp","wound_status","growthrate","weight"
"1",59,65,"2_A","2","A","wounded",0.00196509677840785,0.541058153821617
"2",69,65,"1_A","1","A","wounded",0.00110444722703512,0.94451538310206
"3",49,69,"2_A","2","A","wounded",0.00156646473966387,0.681202519710068
"4",25,70,"2_A","2","A","wounded",0.00143776019826995,0.82140966958295
"5",85,67,"1_A","1","A","wounded",0.00205889279835947,1.00667909725547
"6",52,69,"1_A","1","A","wounded",0.00238917492975643,1.08932642974299
"7",26,70,"1_A","1","A","wounded",0.000346410903886698,1.08296177333331
"8",9,68,"2_A","2","A","wounded",0.0017075623531428,0.624490371453561
"9",87,67,"2_A","2","A","wounded",0.00110079296680194,0.935233020804919
"10",106,66,"1_A","1","A","wounded",0.00115554355039687,0.562784796462911
"11",7,68,"2_H","2","H","wounded",0.00111718127194268,0.533782883861467
"12",74,67,"1_H","1","H","wounded",0.00165164868414497,0.735013196385074
"13",63,65,"2_H","2","H","wounded",0.0014129924320937,0.738238190713872
"14",23,70,"1_H","1","H","wounded",0.000317133998504281,0.857785986780018
"15",56,65,"1_H","1","H","wounded",0.00203480214744046,0.656436976764658
"16",76,67,"2_H","2","H","wounded",0.00113125093056609,0.739156277635927
"17",46,69,"1_H","1","H","wounded",0.00145194217053357,0.964570250336439
"18",92,66,"1_H","1","H","wounded",0.00134905763536406,0.824504374638996
"19",24,70,"2_H","2","H","wounded",0.00146228246685429,0.861479679881137
"20",43,69,"2_H","2","H","wounded",0.00162913532531136,0.547323988932818
"21",98,66,"2_H","2","H","wounded",0.000626090594599487,0.578796198895797
"22",3,68,"1_H","1","H","wounded",0.00139305735518091,0.595407239213574
"23",91,66,"1_A","1","A","wounded",0.00165970278010761,0.780700827193506
"24",78,67,"2_A","2","A","wounded",0.00140900048545229,0.917254579638168
"25",101,66,"2_A","2","A","wounded",0.00233037502703764,0.792852385617214
"26",62,65,"2_A","2","A","wounded",0.00207059524243948,0.95232625402849
"27",67,65,"1_A","1","A","wounded",0.00138370631784945,0.975009859738129
"28",42,69,"2_A","2","A","wounded",0.00211592633941146,0.724777170970025
"29",75,67,"1_A","1","A","wounded",0.00114378410560915,0.549389521963925
"30",54,69,"1_A","1","A","wounded",0.000633549865348862,0.847156412534489
"31",16,68,"2_A","2","A","wounded",0.0019304150641978,0.48878665807995
"32",20,70,"1_A","1","A","wounded",0.00128251125006155,0.990105592741019
"33",12,68,"1_A","1","A","wounded",0.00100542781189986,0.42353106564782
"34",45,69,"2_H","2","H","wounded",0.00163979664972286,0.67625850205522
"35",84,67,"1_H","1","H","wounded",0.00120558473470256,0.83413672094501
"36",33,70,"2_H","2","H","wounded",-0.000284120309068092,0.804325191442987
"37",73,67,"2_H","2","H","wounded",0.00171034918938912,0.782938121980117
"38",50,69,"1_H","1","H","wounded",0.000615049691071775,0.584535653071023
"39",70,65,"1_H","1","H","wounded",0.00198276910719703,0.769841440535694
"40",55,65,"2_H","2","H","wounded",0.00200495847012963,0.667133321558109
"41",2,68,"1_H","1","H","wounded",0.00176215849691993,0.495774549739092
"42",96,66,"1_H","1","H","wounded",0.00162620046808195,0.698596445134242
"43",94,66,"2_H","2","H","wounded",0.00107579535632672,0.887223233166065
"44",14,68,"2_H","2","H","wounded",0.00142224066781217,0.870458005407397
"45",35,70,"1_H","1","H","wounded",0.00107389005055344,1.00431552452474
"46",82,67,"2_A","2","A","wounded",0.00139298927556879,0.833929713667795
"47",105,66,"1_A","1","A","wounded",0.00177054738353947,0.518307204768961
"48",6,68,"1_A","1","A","wounded",0.00163143316765456,0.615256750209478
"49",102,66,"2_A","2","A","wounded",0.00250523515047643,0.830027708070343
