coral_id,time_point,wound_type,radial_coralite_structure,radial_coralite_polyps,apical_coralite structure,healed,notes,tissue_over_wound,
4,initial,2,no,yes,yes,no,,no,
4,24hr,2,no,yes,yes,no,,no,
4,day10,2,no,yes,yes,no,,yes,
4,final,2,no,yes,yes,no,,yes,
6,initial,1,yes,no,no,no,,no,
6,24hr,1,yes,no,no,no,,no,
6,day10,1,yes,yes,no,no,,no,
6,final,1,yes,yes,yes,yes,,yes,
10,initial,1,yes,yes,no,no,,no,
10,24hr,1,yes,yes,no,no,,no,
10,day10,1,yes,yes,no,no,,no,
10,final,1,yes,yes,yes,yes,,yes,
13,initial,2,no,no,no,no,,no,
13,24hr,2,no,no,no,no,,no,
13,day10,2,no,yes,yes,no,,yes,
13,final,2,yes,yes,yes,yes,,yes,
22,initial,1,yes,yes,no,no,,no,
22,24hr,1,yes,yes,no,no,,no,
22,day10,1,yes,yes,no,no,,no,
22,final,1,yes,yes,yes,yes,,maybe,
27,initial,1,no,no,no,no,,no,
27,24hr,1,no,no,no,no,,no,
27,day10,1,no,no,yes,no,,no,
27,final,1,no,yes,yes,no,,yes,
30,initial,1,yes,no,no,no,,no,
30,24hr,1,yes,no,no,no,,no,
30,day10,1,yes,yes,no,no,,no,
30,final,1,yes,yes,yes,yes,,yes,
31,initial,1,no,no,no,no,,no,
31,24hr,1,no,no,no,no,worm on it ,no,
31,day10,1,yes,no,yes,no,apical structure colonized by algae,yes,
31,final,1,yes,yes,yes,yes,worm on it ,yes,
38,initial,1,yes,yes,no,no,,no,
38,24hr,1,yes,yes,no,no,,no,
38,day10,1,yes,yes,yes,yes,,yes,
38,final,1,yes,yes,yes,yes,,yes,
39,initial,1,no,no,no,no,,no,
39,24hr,1,no,no,no,no,,no,
39,day10,1,no,yes,yes,no,,no,
39,final,1,yes,yes,yes,yes,,yes,
44,initial,1,no,no,no,no,,no,
44,24hr,1,no,no,no,no,,no,
44,day10,1,no,no,yes,no,,no,
44,final,1,no,no,yes,no,,yes,
48,initial,1,yes,yes,no,no,,no,
48,24hr,1,yes,yes,no,no,,no,
48,day10,1,yes,yes,yes,yes,,no,
48,final,1,yes,yes,yes,yes,,yes,
65,initial,2,no,no,no,no,,no,
65,24hr,2,no,no,no,no,,no,
65,day10,2,yes,yes,yes,yes,,no,
65,final,2,yes,yes,yes,yes,,yes,almost fully formed coralite structures 
66,initial,2,no,no,no,no,,no,
66,24hr,2,no,no,no,no,,no,
66,day10,2,yes,no,no,no,,no,
66,final,2,yes,no,yes,no,,yes,
71,initial,1,yes,yes,no,no,,no,
71,24hr,1,yes,yes,no,no,,no,
71,day10,1,yes,yes,yes,yes,,yes,
71,final,1,yes,yes,yes,yes,,yes,
72,initial,1,yes,yes,no,no,,no,
72,24hr,1,yes,yes,no,no,,no,
72,day10,1,yes,yes,yes,yes,,yes,
72,final,1,yes,yes,yes,yes,,yes,
79,initial,2,no,no,yes,no,,no,
79,24hr,2,no,no,yes,no,,no,
79,day10,2,no,no,yes,no,,no,
79,final,2,yes,yes,yes,nyes,,yes,
80,initial,1,yes,yes,no,no,,no,
80,24hr,1,yes,yes,no,no,,no,
80,day10,1,yes,yes,yes,yes,,no,
80,final,1,yes,yes,yes,yes,,no,
82,initial,2,no,yes,no,no,,no,
82,24hr,2,no ,yes,no,no,,no,
82,day10,2,no,yes,yes,no,,no,
82,final,2,yes,yes,yes,yes,,yes,
88,initial,1,yes,yes,no,no,,no,
88,24hr,1,yes,yes,no,no,,no,
88,day10,1,yes,yes,yes,yes,,no,
88,final,1, yes,yes,yes,yes,,no,
93,initial,2,no,no,no,no,,no,
93,24hr,2,no,no,no,no,,no,
93,day10,2,yes,yes,yes,yes,,yes,
93,final,2,yes,yes,yes,yes,,yes,
100,initial,1,yes,yes,no,no,,no,
100,24hr,1,yes,yes,no,no,,no,
100,day10,1,yes,yes,yes,yes,worm on it ,yes,
100,final,1,yes,yes,yes,yes,,yes,
102,initial,2,no,yes,no,no,,no,
102,24hr,2,no,yes,no,no,,no,
102,day10,2,yes,yes,yes,yes,,no,
102,final,2,yes,yes,yes,yes,,no,
105,initial,1,yes,yes,no,no,,no,
105,24hr,1,yes,yes,no,no,,no,
105,day10,1,yes,yes,yes,yes,,no,
105,final,1,yes,yes,yes,yes,,no,
